#chromosomeIndex	startPos	endPos	geneTypeIndex	geneId	cytobandIndices	tadIndices	geneName	cancerGene
1	3547331	3569325	5	116213	2	6;7	WRAP73	False
1	3569084	3652765	5	78900	2	6;7	TP73	True
1	3652165	3663900	28	227372	2	6;7	TP73-AS1	False
1	3663024	3688209	5	162592	2	6;7	CCDC27	False
1	3689352	3692546	5	235169	2	7	SMIM1	False
1	3695122	3713068	5	130764	2	7	LRRC47	False
1	3728645	3773778	5	116198	2	7	CEP104	False
1	3773831	3801993	5	169598	2	7	DFFB	True
1	3800628	3800697	9	264428	2	7	AL691523.1	False
1	3805689	3816857	5	198912	2	7	C1orf174	False
1	3816936	3833789	10	236423	2	7	LINC01134	False
1	4000625	4015322	10	233304	2	7	LINC01346	False
1	4004607	4009040	10	226374	2	7	LINC01345	False
1	4036193	4072759	10	284668	2	7	AL805961.1	False
1	4072981	4079568	10	284703	2	7	AL805961.2	False
1	4235588	4235959	7	229280	2	7	EEF1DP6	False
1	4472087	4484749	10	235054	2	7	LINC01777	False
1	4539191	4544435	10	284694	2	7	AL355602.1	False
1	4611795	4612205	10	227169	2	7	Z98747.1	False
1	4631541	4654069	10	232596	2	7	LINC01646	False
1	4714792	4852594	5	196581	2	7	AJAP1	True
1	5024014	5033358	10	284739	2	7	BX005132.2	False
1	5033441	5041628	10	284674	2	7	BX005132.1	False
1	5146519	5150959	10	231510	2	7	AL691497.1	False
1	5361988	5367454	10	284616	2	7	AL139823.1	False
1	5538796	5553117	10	284692	3	7	Z98259.3	False
1	5540847	5542088	10	284666	3	7	Z98259.2	False
1	5553038	5554734	10	260972	3	7	Z98259.1	False
1	5614807	5614941	0	283356	3	7	Z97988.1	False
1	5621769	5728355	10	236948	3	7	AL365255.1	False
1	5624131	5624203	9	264341	3	7	MIR4417	False
1	5875931	5876019	9	216045	3	7	AL356693.1	False
1	5922732	5922801	9	264101	3	7	MIR4689	False
1	5922871	6052533	5	131697	3	7;8	NPHP4	False
1	5953899	5953984	9	266687	3	7	AL356261.1	False
1	6051526	6161253	5	69424	3	7;8	KCNAB2	False
1	6100630	6101399	5	268332	3	7;8	AL035406.1	False
1	6161853	6240183	5	116254	3	8	CHD5	True
1	6241329	6269449	5	116251	3	8	RPL22	True
1	6265535	6281359	5	158286	3	8	RNF207	True
1	6281253	6296032	5	116237	3	8	ICMT	False
1	6296300	6299504	10	225077	3	8	LINC00337	False
1	6304252	6305638	5	173673	3	8	HES3	False
1	6307406	6321035	5	158292	3	8	GPR153	False
1	6324329	6454451	5	97021	3	8	ACOT7	False
1	6472478	6484730	5	69812	3	8	HES2	False
1	6484848	6521430	5	187017	3	8	ESPN	False
1	6489894	6489956	9	265392	3	8	MIR4252	False
1	6521211	6526255	5	215788	3	8	TNFRSF25	False
1	6526152	6580121	5	171680	3	8	PLEKHG5	True
1	6581407	6614595	5	162408	3	8	NOL9	False
1	6607965	6608679	7	229519	3	8	AL591866.1	False
1	6615241	6639817	5	173662	3	8	TAS1R1	False
1	6640061	6649340	5	204859	3	8	ZBTB48	False
1	6650784	6674667	5	162413	3	8	KLHL21	False
1	6673745	6684093	5	116273	3	8	PHF13	True
1	6684926	6695646	5	41988	3	8	THAP3	False
1	6694228	6761984	5	7923	3	8	DNAJC11	True
1	6784697	6790072	10	228750	3	8	LINC01672	False
1	6828014	6830098	10	284744	3	8	AL591163.1	False
1	6845384	7829766	5	171735	3;4	8;9	CAMTA1	True
1	6894393	6894678	7	227950	3	8	AL590128.1	False
1	7753184	7754904	10	270171	4	8;9	AL359881.3	False
1	7758363	7758932	10	270035	4	8;9	AL359881.2	False
1	7760764	7761030	10	269978	4	9	AL359881.1	False
1	7831329	7841492	5	49245	4	9	VAMP3	False
1	7844380	7905237	5	49246	4	9	PER3	False
1	7903143	7913572	5	49247	4	9	UTS2	False
1	7975954	8003225	5	49249	4	9	TNFRSF9	False
1	8002432	8002786	7	270330	4	9	AL009183.1	False
1	8014351	8045565	5	116288	4	9	PARK7	False
1	8058247	8059994	10	284716	4	9	AL034417.3	False
1	8064464	8086368	5	116285	4	9	ERRFI1	True
1	8086798	8182762	10	238290	4	9	AL034417.2	False
1	8117305	8118523	7	232848	4	9	AL034417.1	False
1	8249884	8252830	7	229305	4	9	AL358876.1	False
1	8262489	8275270	10	227634	4	9	LINC01714	False
1	8278250	8280589	10	233645	4	9	AL358876.2	False
1	8377886	8404227	5	162426	4	9;10	SLC45A1	False
1	8412457	8877702	5	142599	4	9;10	RERE	False
1	8572712	8573080	7	270282	4	10	AL096855.2	False
1	8810489	8811146	7	234619	4	10	RPL7P11	False
1	8846270	8846972	7	224315	4	10	RPL7P7	False
1	8858534	8859565	0	226545	4	10	AL357552.1	False
1	8865919	8867110	10	228423	4	10	AL357552.2	False
1	8891066	8891434	7	229716	4	10	RPL23AP19	False
1	8921061	8939308	5	74800	4	10;11	ENO1	False
1	8953468	8954210	7	238249	4	10;11	HMGN2P17	False
1	8967452	8967803	7	232208	4	10;11	AL139415.1	False
1	8969801	8969963	7	232663	4	10;11	AL139415.2	False
1	9005926	9035151	5	131686	4	11	CA6	False
1	9063359	9086404	5	197241	4	11	SLC2A7	False
1	9095166	9148537	5	142583	4	11	SLC2A5	False
1	9160364	9189229	5	180758	4	11	GPR157	False
1	9208070	9257042	10	228526	5	11	MIR34AHG	False
1	9211727	9211836	9	207865	5	11	MIR34A	True
1	9242063	9256343	10	234546	5	11	LINC01759	False
1	9257202	9258965	10	281937	5	11	Z98044.1	False
1	9294834	9331396	5	49239	5	11	H6PD	False
1	9338450	9338592	9	252841	5	11	Z98044.1	False
1	9352939	9429591	5	171621	5	11	SPSB1	False
1	9481157	9482921	10	284652	5	11	BX323043.1	False
1	9485153	9500623	10	284693	5	11	AL928921.2	False
1	9561151	9563530	10	235263	5	11	AL928921.1	False
1	9599541	9645237	5	171612	5	11;12	SLC25A33	False
1	9636485	9637043	7	231181	5	11	AL954705.1	False
1	9648980	9674931	5	188807	5	11;12	TMEM201	False
1	9711790	9789172	5	171608	5	11;12	PIK3CD	True
1	9720886	9722684	7	233268	5	12	AL691449.1	False
1	9789084	9884584	5	171603	5	12	CLSTN1	False
1	9840880	9841298	7	271264	5	12	MZT1P1	False
1	9908334	9970394	5	178585	5	12	CTNNBIP1	True
1	9982171	10003465	5	162441	5	12	LZIC	False
1	10003486	10045559	5	173614	5	12	NMNAT1	False
1	10027439	10027516	9	265521	5	12	MIR5697	False
1	10057264	10076078	5	162444	5	12	RBP7	False
1	10092890	10241297	5	130939	5	12	UBE4B	False
1	10114503	10114839	7	224340	5	12	AL590639.1	False
1	10118729	10119706	7	233623	5	12	PGAM1P11	False
1	10270863	10441661	5	54523	5	12	KIF1B	True
1	10287776	10287861	9	264881	5	12	MIR1273D	False
1	10441964	10447207	10	284735	5	12	AL139424.3	False
1	10455473	10457489	10	284642	5	12	AL139424.2	False
1	10458649	10480201	5	142657	5	12	PGD	False
1	10490159	10512210	5	251503	5	12	CENPS-CORT	True
1	10490500	10502866	5	175279	5	12	CENPS	True
1	10509776	10511959	5	241563	5	12	CORT	False
1	10516579	10532583	5	160049	5	12;13	DFFA	True
1	10532345	10690815	5	142655	5	12;13	PEX14	False
1	10696661	10856707	5	130940	5	13	CASZ1	False
1	10955818	10956055	7	225158	5	13	HSPE1P24	False
1	11006528	11042094	5	175262	5	13;14	C1orf127	True
1	11051035	11051854	7	215785	5	13;14	CFL1P6	False
1	11058233	11058320	9	264181	5	13;14	AL713997.1	False
1	11072401	11086477	5	120948	5	13;14	TARDBP	False
1	11072719	11090585	5	277726	5	13;14	AL109811.4	False
1	11086580	11107290	5	9724	5	13;14	MASP2	False
1	11114641	11120081	5	116649	5	14	SRM	False
1	11126675	11159938	5	171824	5	14	EXOSC10	False
1	11166592	11322564	5	198793	5	14	MTOR	True
1	11249398	11256038	5	171819	5	14	ANGPTL7	False
1	11293020	11293169	7	238173	5	14	RPL39P6	False
1	11333263	11356106	5	120942	5	14	UBIAD1	False
1	11338673	11339408	7	238199	5	14	UBE2V2P3	False
1	11371791	11379150	10	284646	5	14	AL031291.1	False
1	11485314	11485878	7	224338	5	14	MTCYBP45	False
1	11539223	11597641	5	204624	5	14	DISP3	False
1	11669588	11673412	10	235643	5	14	LINC01647	False
1	11697075	11715842	5	116661	5	14	FBXO2	False
1	11714432	11723384	5	132879	5	14	FBXO44	False
1	11724181	11734411	5	116663	5	14	FBXO6	False
1	11734537	11751707	5	116670	5	14	MAD2L2	True
1	11751786	11785914	5	162490	5	14	DRAXIN	False
1	11796141	11814859	5	177674	5	14	AGTRAP	False
1	11821844	11849642	5	215910	5	14	C1orf167	False
1	11845780	11866977	5	177000	5	14	MTHFR	False
1	11866153	11903201	5	11021	5	14	CLCN6	False
1	11905766	11908402	5	175206	5	14	NPPA	False
1	11917521	11918988	5	120937	5	14	NPPB	False
1	11937827	11940463	7	224904	5	14	AL021155.1	False
1	11979648	11986485	5	116685	5	14	KIAA2013	False
1	11994262	12035595	5	83444	5	14	PLOD1	False
1	12040238	12073571	5	116688	5	14;15	MFN2	False
1	12077273	12077365	7	270914	5	14;15	AL096840.1	False
1	12079523	12092102	5	116691	5	14;15	MIIP	False
1	12123434	12204264	5	120949	5	15	TNFRSF8	True
1	12140350	12140604	7	227875	5	15	RPL23AP89	False
1	12227060	12269285	5	28137	5	15	TNFRSF1B	True
1	12251770	12251830	9	263676	5	15	MIR4632	False
1	12280851	12281166	7	225196	5	15	RPL10P17	False
1	12290124	12572099	5	48707	5	15	VPS13D	False
1	12587766	12588462	10	229484	5	15	AC243836.1	False
1	12627939	12677737	5	162496	5	15	DHRS3	False
1	12678906	12679250	10	272482	5	15	AC254633.1	False
1	12704566	12727097	5	204518	6	15	AADACL4	False
1	12752925	12753036	7	226166	6	15	AC244670.1	False
1	12776118	12788726	5	188984	6	15	AADACL3	False
1	12806163	12823847	5	157330	6	15	C1orf158	False
1	12834984	12838049	5	116726	6	15	PRAMEF12	False
1	12851546	12856777	5	116721	6	15;16	PRAMEF1	False
1	12882549	12883022	10	228338	6	15;16	LINC01784	False
1	12884468	12891264	5	204513	6	15;16	PRAMEF11	True
1	12897978	12901210	0	231103	6	15;16	PRAMEF30P	False
1	12907261	12908578	5	179172	6	15;16	HNRNPCL1	True
1	12916941	12921764	5	120952	6	15;16	PRAMEF2	False
1	12939045	12946025	5	243073	6	15;16	PRAMEF4	False
1	12952727	12958101	5	187545	6	16	PRAMEF10	False
1	12976430	12980302	5	204510	6	16	PRAMEF7	False
1	12985990	12988081	0	234064	6	16	PRAMEF29P	False
1	12998302	13007406	5	232423	6	16	PRAMEF6	False
1	13035543	13038381	5	204508	6	16	PRAMEF22	False
1	13052394	13052998	5	239810	6	16	WI2-3308P17.2	False
1	13146777	13147256	10	233336	6	16	RP13-221M14.2	False
1	13162650	13165443	0	277862	6	16	PRAMEF34P	False
1	13171871	13173157	0	236179	6	16	PRAMEF35P	False
1	13182968	13184326	5	275774	6	16	HNRNPCL2	False
1	13182991	13183872	5	179412	6	16	HNRNPCL4	False
1	13216356	13219581	5	229571	6	16	PRAMEF26	False
1	13328196	13331692	5	204503	6	16	PRAMEF3	False
1	13359819	13369057	5	204502	6	16	PRAMEF5	False
1	13379149	13381237	0	231219	6	16	PRAMEF32P	False
1	13386646	13390765	5	182330	6	16	PRAMEF8	False
1	13421176	13428191	5	204501	6	16	PRAMEF9	False
1	13429634	13430113	10	228229	6	16	RP11-219C24.10	False
1	13447556	13452656	5	279169	6	16;17	PRAMEF13	False
1	13448050	13450861	0	274178	6	16;17	PRAMEF28P	False
1	13474689	13477522	5	204491	6	16;17	PRAMEF18	False
1	13495254	13498260	5	204488	6	17	PRAMEF16	False
1	13516066	13526943	5	204486	6	17	PRAMEF21	False
1	13641973	13648988	5	157358	6	17	PRAMEF15	False
1	13668411	13673511	5	204481	6	17	PRAMEF14	False
1	13695525	13698151	5	204480	6	17	PRAMEF19	False
1	13716092	13719089	5	204479	6	17	PRAMEF17	False
1	13736907	13747803	5	204478	6	17;18	PRAMEF20	False
1	13801445	13840543	5	162494	6	18	LRRC38	False
1	13881496	13882189	7	215909	6	18	BRWD1P1	False
1	13909960	13944452	5	162493	6	18	PDPN	False
1	13950397	13950497	9	266358	6	18	AL359771.1	False
1	13983806	13986405	10	237445	6	18	AL359771.1	False
1	14026693	14151574	5	116731	6	18	PRDM2	True
1	14219287	15444539	5	189337	6	18;19	KAZN	False
1	14548386	14549613	10	231606	6	19	AL357873.1	False
1	14675450	14718071	10	234593	6	19	AL359873.1	False
1	15018625	15019109	7	235829	6	19	TBCAP2	False
1	15479028	15546976	5	171729	6	19	TMEM51	False
1	15490840	15497813	10	204464	6	19	C1orf195	False
1	15518324	15519341	7	215720	6	19	AL035405.1	False
1	15552869	15554045	7	278480	6	19	AL391094.1	False
1	15573768	15726779	5	142621	6	19	FHAD1	False
1	15729475	15735929	10	228140	6	19	AL031283.1	False
1	15736391	15756839	5	142634	6	19	EFHD2	False
1	15764935	15775737	5	162438	6	19	CTRC	False
1	15783223	15798586	5	142615	6	19	CELA2A	False
1	15792404	15817895	5	215704	6	19;20	CELA2B	False
1	15817327	15853029	5	132906	6	19;20	CASP9	True
1	15853308	15918874	5	116138	6	20	DNAJC16	False
1	15898848	15911605	5	116771	6	20	AGMAT	False
1	15931092	15931538	7	235084	6	20	CHCHD2P6	False
1	15941138	15941362	7	236500	6	20	CD24P1	False
1	15943995	15995539	5	197312	6	20	DDI2	False
1	15986364	15988217	5	215695	6	20	RSC1A1	False
1	16009368	16009623	10	271742	6	20	AL121992.2	False
1	16010827	16061264	5	116786	6	20	PLEKHM2	False
1	16010967	16011053	9	264048	6	20	AL121992.1	False
1	16062900	16067891	5	162461	6	20	SLC25A34	False
1	16068917	16074477	5	162460	6	20	TMEM82	False
1	16083102	16113089	5	162458	6	20	FBLIM1	False
1	16119291	16119780	7	224321	6	20	RPL12P14	False
1	16133664	16135843	5	233954	6	20	UQCRHL	False
1	16154727	16155164	7	178715	6	20	AL450998.1	False
1	16174359	16266955	5	65526	6;7	20	SPEN	True
1	16244193	16244403	0	270620	7	20	AL034555.1	False
1	16268364	16302627	5	116809	7	20	ZBTB17	True
1	16296127	16296689	7	234607	7	20	AL355994.4	False
1	16314677	16314936	0	231353	7	20	AL355994.1	False
1	16315635	16315870	7	275503	7	20	AL355994.5	False
1	16316366	16321246	0	224966	7	20	TBC1D3P6	False
1	16330731	16335302	5	183888	7	20	C1orf64	False
1	16340523	16346089	5	173641	7	20	HSPB7	False
1	16345370	16360545	5	186510	7	20;21	CLCNKA	False
1	16361673	16366524	0	232456	7	20;21	AL355994.2	False
1	16370231	16383803	5	184908	7	20;21	CLCNKB	False
1	16384264	16400127	5	185519	7	20;21	FAM131C	False
1	16450832	16482582	5	142627	7	21	EPHA2	True
1	16524349	16539104	5	142632	7	21	ARHGEF19	False
1	16542404	16554522	1	237276	7	21	ANO7L1	False
1	16555368	16556038	5	204377	7	21	C1orf134	False
1	16558195	16563657	5	132881	7	21	RSG1	False
1	16567708	16567893	7	233929	7	21	MT1XP1	False
1	16573334	16678949	5	37637	7	21	FBXO42	False
1	16679070	16724640	5	55070	7	21	SZRD1	False
1	16695645	16696025	7	226457	7	21	AL358794.1	False
1	16713612	16763919	5	187144	7	21	SPATA21	False
1	16767167	16786573	5	157191	7	21	NECAP2	False
1	16787443	16794976	10	226029	7	21	LINC01772	False
1	16793931	16825752	1	80947	7	21	CROCCP3	False
1	16841140	16842249	10	261135	7	21	AL137802.2	False
1	16847189	16848291	10	224174	7	21	AL137802.1	False
1	16860381	16862667	10	233421	7	21	LINC01783	False
1	16865561	16866070	5	268674	7	21	AL355149.2	False
1	16875146	16879026	0	225710	7	21	AL355149.1	False
1	16875409	16875482	9	266584	7	21	AL355149.1	False
1	16888814	16940057	5	219481	7	21	NBPF1	False
1	16943886	16944224	10	271732	7	21	AL137798.1	False
1	16944748	16983727	1	215908	7	21	CROCCP2	False
1	16969262	16969604	1	283773	7	21	AL137798.3	False
1	16972117	16976784	0	186301	7	21	MST1P2	False
1	16983374	16994019	10	282143	7	21	AL137798.2	False
1	16999498	17000007	5	237847	7	21	AL137798.1	False
1	17007750	17007823	9	264742	7	21	AL021920.1	False
1	17012116	17012550	7	236698	7	21	EIF1AXP1	False
1	17013834	17046652	1	268869	7	21	ESPNP	False
1	17028041	17032089	10	279151	7	21	AL021920.1	False
1	17060447	17060956	5	268991	7	21	AL021920.2	False
1	17066433	17077084	10	282740	7	21	AL021920.3	False
1	17066768	17299474	5	58453	7	21;22	CROCC	False
1	17066775	17077463	1	227684	7	21	CROCCP4	False
1	17081405	17096732	1	186715	7	21	MST1L	True
1	17177752	17179624	10	223643	7	21	BX284668.1	False
1	17181902	17185779	0	230239	7	21	BX284668.3	False
1	17185444	17185516	9	263811	7	21	MIR3675	False
1	17197440	17200587	10	228549	7	21;22	BX284668.2	False
1	17215033	17216144	10	238142	7	21;22	BX284668.5	False
1	17215590	17216097	7	235241	7	21;22	BX284668.4	False
1	17230834	17231271	10	272426	7	21;22	BX284668.6	False
1	17300997	17307330	5	117122	7	22	MFAP2	False
1	17312453	17338423	5	159363	7	22	ATP13A2	False
1	17345217	17380665	5	117118	7	22	SDHB	True
1	17393256	17445930	5	117115	7	22	PADI2	True
1	17516278	17524112	10	204362	7	22	AL590644.1	False
1	17519727	17528228	10	282843	7	22	AL590644.3	False
1	17531621	17572500	5	142623	7	22	PADI1	True
1	17575593	17610728	5	142619	7	22	PADI3	True
1	17604384	17604470	9	266634	7	22	MIR3972	False
1	17634690	17690499	5	159339	7	22	PADI4	True
1	17655507	17676070	5	269468	7	22	AC004824.2	False
1	17698691	17728195	5	276747	7	22	PADI6	False
1	17733256	17766220	5	179051	7	22	RCC2	False
1	17740127	17740190	9	266727	7	22	AC004824.1	False
1	17866330	18024369	5	74964	7	22	ARHGEF10L	False
1	18044182	18076473	10	236648	7	22	AL136529.1	False
1	18081808	18153558	5	117148	7	22	ACTL8	False
1	18342206	18372106	10	284653	7	22	AL357509.1	False
1	18392151	18400906	10	261781	7	22	LINC01654	False
1	18434240	18704977	5	117154	7	22	IGSF21	False
1	18712323	18715008	10	225387	7	22	AL591896.1	False
1	18807476	18812620	5	179023	7	22	KLHDC7A	False
1	18839612	18839877	7	235282	7	22	DYNLL1P3	False
1	18921908	18922130	7	225478	7	22	AL031737.1	False
1	18957500	19075360	5	9709	7	22	PAX7	True
1	19166093	19186176	5	179002	7	22;23	TAS1R2	False
1	19175767	19247615	5	255275	7	22;23	AL080251.1	False
1	19197924	19229275	5	159423	7	22;23	ALDH4A1	False
1	19209696	19209769	9	265606	7	22;23	MIR4695	False
1	19223565	19223642	9	221662	7	22;23	MIR1290	False
1	19230775	19283180	5	169991	7	22;23	IFFO2	False
1	19401000	19536770	5	127481	7	23	UBR4	True
1	19410046	19410145	9	266098	7	23	AL137127.1	False
1	19542158	19578046	5	127463	7	23	EMC1	False
1	19578033	19586622	5	53372	7	23	MRTO4	False
1	19592476	19600688	8	211454	7	23	AKR7L	False
1	19609052	19615744	5	162482	7	23	AKR7A3	False
1	19623574	19624397	7	270728	7	23	AL035413.2	False
1	19630459	19638640	5	53371	7	23	AKR7A2	False
1	19638820	19655794	5	40487	7	23	PQLC2	False
1	19665270	19812033	5	77549	7	23	CAPZB	False
1	19923471	19956315	5	173436	7	23	MINOS1	False
1	19923473	19984549	5	270136	7	23	MINOS1-NBL1	True
1	19934608	19935062	7	226396	7	23	AL031727.1	False
1	19967048	19984949	5	158747	7	23	NBL1	True
1	19991780	20006055	5	158748	7	23;24	HTR6	False
1	20008706	20126438	5	162542	7	23;24	TMCO4	False
1	20140522	20141771	5	178828	7	24	RNF186	False
1	20209006	20239438	5	169914	7	24	OTUD3	False
1	20246502	20250110	5	188784	7	24	PLA2G2E	True
