reactomePathwayId	reactomePathwayName
112412	SOS-mediated signalling
113418	Formation of the Early Elongation Complex
113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1
113507	E2F-enabled inhibition of pre-replication complex formation
113510	E2F mediated regulation of DNA replication
114294	Activation, translocation and oligomerization of BAX
114452	Activation of BH3-only proteins
114508	Effects of PIP2 hydrolysis
114516	Disinhibition of SNARE formation
114604	GPVI-mediated activation cascade
114608	Platelet degranulation 
139853	Elevation of cytosolic Ca2+ levels
139910	Activation of BMF and translocation to mitochondria
139915	Activation of PUMA and translocation to mitochondria
140179	Amine Oxidase reactions
140180	COX reactions
140342	Apoptosis induced DNA fragmentation
140534	via Death Receptors in the presence of ligand
140834	Extrinsic Pathway of Fibrin Clot Formation
140837	Intrinsic Pathway of Fibrin Clot Formation
140875	Common Pathway of Fibrin Clot Formation
140877	Formation of Fibrin Clot (Clotting Cascade)
141333	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
141334	PAOs oxidise polyamines to amines
141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
141424	Amplification of signal from the kinetochores
141430	Inactivation of APC/C via direct inhibition of the APC/C complex
141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
156580	Phase II - Conjugation of compounds
156581	Methylation
156582	Acetylation
156584	Cytosolic sulfonation of small molecules
156587	Amino Acid conjugation
156588	Glucuronidation
156590	Glutathione conjugation
156711	Polo-like kinase mediated events
156827	L13a-mediated translational silencing of Ceruloplasmin expression
156842	Eukaryotic Translation Elongation
156902	Peptide chain elongation
157118	Signaling by NOTCH
157579	Telomere Maintenance
157858	Gap junction trafficking and regulation
159227	Transport of the SLBP independent Mature mRNA
159230	Transport of the SLBP Dependant Mature mRNA
159231	Transport of Mature mRNA Derived from an Intronless Transcript
159234	Transport of Mature mRNAs Derived from Intronless Transcripts
159236	Transport of Mature mRNA derived from an Intron-Containing Transcript
159418	Recycling of bile acids and salts
159424	Conjugation of carboxylic acids
159740	Gamma-carboxylation of protein precursors
159763	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus
159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins
159854	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins
162582	Signal Transduction
162585	Uncoating of the HIV Virion
162587	HIV Life Cycle
162588	Budding and maturation of HIV virion
162589	Reverse Transcription of HIV RNA
162592	Integration of provirus
162594	Early Phase of HIV Life Cycle
162599	Late Phase of HIV Life Cycle
162658	Golgi Cisternae Pericentriolar Stack Reorganization
162699	Synthesis of dolichyl-phosphate mannose
162710	Synthesis of glycosylphosphatidylinositol (GPI)
162791	Attachment of GPI anchor to uPAR
162906	HIV Infection
162909	Host Interactions of HIV factors
163125	Post-translational modification: synthesis of GPI-anchored proteins
163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.
163210	Formation of ATP by chemiosmotic coupling
163282	Mitochondrial transcription initiation
163316	Mitochondrial transcription termination
163358	PKA-mediated phosphorylation of key metabolic factors
163359	Glucagon signaling in metabolic regulation
163560	Triglyceride catabolism
163615	PKA activation
163680	AMPK inhibits chREBP transcriptional activation activity
163685	Integration of energy metabolism
163754	Insulin effects increased synthesis of Xylulose-5-Phosphate
163765	ChREBP activates metabolic gene expression
163767	PP2A-mediated dephosphorylation of key metabolic factors
163841	Gamma carboxylation, hypusine formation and arylsulfatase activation
164378	PKA activation in glucagon signalling
164516	Minus-strand DNA synthesis
164525	Plus-strand DNA synthesis
164843	2-LTR circle formation
164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
164939	Nef mediated downregulation of CD28 cell surface expression
164940	Nef mediated downregulation of MHC class I complex cell surface expression
164944	Nef and signal transduction
164952	The role of Nef in HIV-1 replication and disease pathogenesis
165054	Rev-mediated nuclear export of HIV RNA
165158	Activation of AKT2
165159	mTOR signalling
165160	PDE3B signalling
165181	Inhibition of TSC complex formation by PKB
166016	Toll Like Receptor 4 (TLR4) Cascade
166020	Transfer of LPS from LBP carrier to CD14
166058	MyD88:Mal cascade initiated on plasma membrane
166166	MyD88-independent TLR4 cascade 
166187	Mitochondrial Uncoupling Proteins
166208	mTORC1-mediated signalling
166520	Signaling by NTRKs
166658	Complement cascade
166662	Lectin pathway of complement activation
166663	Initial triggering of complement
166665	Terminal pathway of complement
166786	Creation of C4 and C2 activators
167021	PLC-gamma1 signalling
167044	Signalling to RAS
167060	NGF processing
167152	Formation of HIV elongation complex in the absence of HIV Tat
167158	Formation of the HIV-1 Early Elongation Complex
167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
167161	HIV Transcription Initiation
167162	RNA Polymerase II HIV Promoter Escape
167169	HIV Transcription Elongation
167172	Transcription of the HIV genome
167200	Formation of HIV-1 elongation complex containing HIV-1 Tat
167238	Pausing and recovery of Tat-mediated HIV elongation
167242	Abortive elongation of HIV-1 transcript in the absence of Tat
167243	Tat-mediated HIV elongation arrest and recovery
167246	Tat-mediated elongation of the HIV-1 transcript
167287	HIV elongation arrest and recovery
167290	Pausing and recovery of HIV elongation
167590	Nef Mediated CD4 Down-regulation
167826	The fatty acid cycling model
167827	The proton buffering model
168138	Toll Like Receptor 9 (TLR9) Cascade
168142	Toll Like Receptor 10 (TLR10) Cascade
168164	Toll Like Receptor 3 (TLR3) Cascade
168176	Toll Like Receptor 5 (TLR5) Cascade
168179	Toll Like Receptor TLR1:TLR2 Cascade
168181	Toll Like Receptor 7/8 (TLR7/8) Cascade
168188	Toll Like Receptor TLR6:TLR2 Cascade
168249	Innate Immune System
168253	Host Interactions with Influenza Factors
168254	Influenza Infection
168255	Influenza Life Cycle
168256	Immune System
168268	Virus Assembly and Release
168270	Fusion and Uncoating of the Influenza Virion
168271	Transport of Ribonucleoproteins into the Host Nucleus
168273	Influenza Viral RNA Transcription and Replication
168274	Export of Viral Ribonucleoproteins from Nucleus
168275	Entry of Influenza Virion into Host Cell via Endocytosis
168276	NS1 Mediated Effects on Host Pathways
168277	Influenza Virus Induced Apoptosis
168288	Fusion of the Influenza Virion to the Host Cell Endosome
168298	Release
168302	Budding
168303	Packaging of Eight RNA Segments
168305	Inhibition of Interferon Synthesis
168315	Inhibition of Host mRNA Processing and RNA Silencing
168316	Assembly of Viral Components at the Budding Site
168325	Viral Messenger RNA Synthesis
168330	Viral RNP Complexes in the Host Cell Nucleus
168333	NEP/NS2 Interacts with the Cellular Export Machinery
168336	Uncoating of the Influenza Virion
168638	NOD1/2 Signaling Pathway
168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
168799	Neurotoxicity of clostridium toxins
168874	Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus
168888	Inhibition of IFN-beta
168898	Toll-Like Receptors Cascades
168927	TICAM1, RIP1-mediated IKK complex recruitment 
168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta
169131	Inhibition of PKR
169893	Prolonged ERK activation events
169911	Regulation of Apoptosis
170145	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
170660	Adenylate cyclase activating pathway
170670	Adenylate cyclase inhibitory pathway
170822	Regulation of Glucokinase by Glucokinase Regulatory Protein
170834	Signaling by TGF-beta Receptor Complex
170968	Frs2-mediated activation
170984	ARMS-mediated activation
171007	p38MAPK events
171286	Synthesis and processing of ENV and VPU
171306	Packaging Of Telomere Ends
171319	Telomere Extension By Telomerase
173107	Binding and entry of HIV virion
173599	Formation of the active cofactor, UDP-glucuronate
173623	Classical antibody-mediated complement activation
173736	Alternative complement activation
174048	APC/C:Cdc20 mediated degradation of Cyclin B
174084	Autodegradation of Cdh1 by Cdh1:APC/C
174113	SCF-beta-TrCP mediated degradation of Emi1
174143	APC/C-mediated degradation of cell cycle proteins
174154	APC/C:Cdc20 mediated degradation of Securin
174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
174362	Transport and synthesis of PAPS
174403	Glutathione synthesis and recycling
174411	Polymerase switching on the C-strand of the telomere
174414	Processive synthesis on the C-strand of the telomere
174417	Telomere C-strand (Lagging Strand) Synthesis
174430	Telomere C-strand synthesis initiation
174437	Removal of the Flap Intermediate from the C-strand
174490	Membrane binding and targetting of GAG proteins
174495	Synthesis And Processing Of GAG, GAGPOL Polyproteins
174577	Activation of C3 and C5
174824	Plasma lipoprotein assembly, remodeling, and clearance
175474	Assembly Of The HIV Virion
175567	Integration of viral DNA into host genomic DNA
176033	Interactions of Vpr with host cellular proteins
176034	Interactions of Tat with host cellular proteins
176187	Activation of ATR in response to replication stress
176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
176408	Regulation of APC/C activators between G1/S and early anaphase
176409	APC/C:Cdc20 mediated degradation of mitotic proteins
176412	Phosphorylation of the APC/C
176417	Phosphorylation of Emi1
176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
176974	Unwinding of DNA
177128	Conjugation of salicylate with glycine
177135	Conjugation of benzoate with glycine
177162	Conjugation of phenylacetate with glutamine
177243	Interactions of Rev with host cellular proteins
177504	Retrograde neurotrophin signalling
177539	Autointegration results in viral DNA circles
177929	Signaling by EGFR
179409	APC-Cdc20 mediated degradation of Nek2A
179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
179812	GRB2 events in EGFR signaling
180024	DARPP-32 events
180292	GAB1 signalosome
180336	SHC1 events in EGFR signaling
180534	Vpu mediated degradation of CD4
180585	Vif-mediated degradation of APOBEC3G
180689	APOBEC3G mediated resistance to HIV-1 infection
180746	Nuclear import of Rev protein
180786	Extension of Telomeres
180897	Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization
180910	Vpr-mediated nuclear import of PICs
181429	Serotonin Neurotransmitter Release Cycle
181430	Norepinephrine Neurotransmitter Release Cycle
181431	Acetylcholine binding and downstream events
181438	Toll Like Receptor 2 (TLR2) Cascade
182218	Nef Mediated CD8 Down-regulation
182971	EGFR downregulation
186712	Regulation of beta-cell development
186763	Downstream signal transduction
186797	Signaling by PDGF
187015	Activation of TRKA receptors
187024	NGF-independant TRKA activation
187037	Signaling by NTRK1 (TRKA)
187042	TRKA activation by NGF
187577	SCF(Skp2)-mediated degradation of p27/p21
187687	Signalling to ERKs
187706	Signalling to p38 via RIT and RIN
189085	Digestion of dietary carbohydrate
189200	Cellular hexose transport
189445	Metabolism of porphyrins
189451	Heme biosynthesis
189483	Heme degradation
190236	Signaling by FGFR
190239	FGFR3 ligand binding and activation
190241	FGFR2 ligand binding and activation
190242	FGFR1 ligand binding and activation
190322	FGFR4 ligand binding and activation
190370	FGFR1b ligand binding and activation
190371	FGFR3b ligand binding and activation
190372	FGFR3c ligand binding and activation
190373	FGFR1c ligand binding and activation
190374	FGFR1c and Klotho ligand binding and activation
190375	FGFR2c ligand binding and activation
190377	FGFR2b ligand binding and activation
190704	Oligomerization of connexins into connexons
190827	Transport of connexins along the secretory pathway
190828	Gap junction trafficking
190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
190861	Gap junction assembly
190872	Transport of connexons to the plasma membrane
190873	Gap junction degradation
191273	Cholesterol biosynthesis
191647	c-src mediated regulation of Cx43 function and closure of gap junctions
191650	Regulation of gap junction activity
191859	snRNP Assembly
192105	Synthesis of bile acids and bile salts
192456	Digestion of dietary lipid
192814	vRNA Synthesis
192823	Viral mRNA Translation
192869	cRNA Synthesis
192905	vRNP Assembly
193048	Androgen biosynthesis
193144	Estrogen biosynthesis
193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
193634	Axonal growth inhibition (RHOA activation)
193639	p75NTR signals via NF-kB
193648	NRAGE signals death through JNK
193670	p75NTR negatively regulates cell cycle via SC1
193681	Ceramide signalling
193692	Regulated proteolysis of p75NTR
193697	p75NTR regulates axonogenesis
193704	p75 NTR receptor-mediated signalling
193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol
193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol
193993	Mineralocorticoid biosynthesis
194002	Glucocorticoid biosynthesis
194068	Bile acid and bile salt metabolism
194138	Signaling by VEGF
194306	Neurophilin interactions with VEGF and VEGFR
194313	VEGF ligand-receptor interactions
194315	Signaling by Rho GTPases
194441	Metabolism of non-coding RNA
194840	Rho GTPase cycle
195253	Degradation of beta-catenin by the destruction complex
195258	RHO GTPase Effectors
195399	VEGF binds to VEGFR leading to receptor dimerization
195721	Signaling by WNT
196025	Formation of annular gap junctions
196071	Metabolism of steroid hormones
196108	Pregnenolone biosynthesis
196299	Beta-catenin phosphorylation cascade
196741	Cobalamin (Cbl, vitamin B12) transport and metabolism
196757	Metabolism of folate and pterines
196780	Biotin transport and metabolism
196783	Coenzyme A biosynthesis
196791	Vitamin D (calciferol) metabolism
196807	Nicotinate metabolism
196819	Vitamin B1 (thiamin) metabolism
196836	Vitamin C (ascorbate) metabolism
196843	Vitamin B2 (riboflavin) metabolism
196849	Metabolism of water-soluble vitamins and cofactors
196854	Metabolism of vitamins and cofactors
197264	Nicotinamide salvaging
198203	PI3K/AKT activation
198323	AKT phosphorylates targets in the cytosol
198693	AKT phosphorylates targets in the nucleus
198725	Nuclear Events (kinase and transcription factor activation)
198745	Signalling to STAT3
198753	ERK/MAPK targets
198765	Signalling to ERK5
198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
199220	Vitamin B5 (pantothenate) metabolism
199418	Negative regulation of the PI3K/AKT network
199920	CREB phosphorylation
199977	ER to Golgi Anterograde Transport
199991	Membrane Trafficking
199992	trans-Golgi Network Vesicle Budding
200425	Import of palmitoyl-CoA into the mitochondrial matrix
201451	Signaling by BMP
201681	TCF dependent signaling in response to WNT
201688	WNT mediated activation of DVL
201722	Formation of the beta-catenin:TCF transactivating complex
202040	G-protein activation
202131	Metabolism of nitric oxide
202403	TCR signaling
202424	Downstream TCR signaling
202427	Phosphorylation of CD3 and TCR zeta chains
202430	Translocation of ZAP-70 to Immunological synapse
202433	Generation of second messenger molecules
202670	ERKs are inactivated
202733	Cell surface interactions at the vascular wall
203615	eNOS activation
203641	NOSTRIN mediated eNOS trafficking
203754	NOSIP mediated eNOS trafficking
203765	eNOS activation and regulation
203927	MicroRNA (miRNA) biogenesis
204005	COPII-mediated vesicle transport
204174	Regulation of pyruvate dehydrogenase (PDH) complex
204626	Hypusine synthesis from eIF5A-lysine
204998	Cell death signalling via NRAGE, NRIF and NADE
205017	NFG and proNGF binds to p75NTR
205025	NADE modulates death signalling
205043	NRIF signals cell death from the nucleus
209543	p75NTR recruits signalling complexes
209560	NF-kB is activated and signals survival
209563	Axonal growth stimulation
209776	Amine-derived hormones
209822	Glycoprotein hormones
209905	Catecholamine biosynthesis
209931	Serotonin and melatonin biosynthesis
209952	Peptide hormone biosynthesis
209968	Thyroxine biosynthesis
210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism
210500	Glutamate Neurotransmitter Release Cycle
210744	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
210745	Regulation of gene expression in beta cells
210746	Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells
210747	Regulation of gene expression in early pancreatic precursor cells
210990	PECAM1 interactions
210991	Basigin interactions
210993	Tie2 Signaling
211000	Gene Silencing by RNA
211163	AKT-mediated inactivation of FOXO1A
211227	Activation of DNA fragmentation factor
211728	Regulation of PAK-2p34 activity by PS-GAP/RHG10
211733	Regulation of activated PAK-2p34 by proteasome mediated degradation
211736	Stimulation of the cell death response by PAK-2p34
211859	Biological oxidations
211897	Cytochrome P450 - arranged by substrate type
211916	Vitamins
211935	Fatty acids
211945	Phase I - Functionalization of compounds
211957	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2
211958	Miscellaneous substrates
211976	Endogenous sterols
211979	Eicosanoids
211981	Xenobiotics
211994	Sterols are 12-hydroxylated by CYP8B1
211999	CYP2E1 reactions
212165	Epigenetic regulation of gene expression
212300	PRC2 methylates histones and DNA
212436	Generic Transcription Pathway
212676	Dopamine Neurotransmitter Release Cycle
212718	EGFR interacts with phospholipase C-gamma
216083	Integrin cell surface interactions
217271	FMO oxidises nucleophiles
264642	Acetylcholine Neurotransmitter Release Cycle
264870	Caspase-mediated cleavage of cytoskeletal proteins
264876	Insulin processing
349425	Autodegradation of the E3 ubiquitin ligase COP1
350054	Notch-HLH transcription pathway
350562	Regulation of ornithine decarboxylase (ODC)
350864	Regulation of thyroid hormone activity
351143	Agmatine biosynthesis
351200	Interconversion of polyamines
351202	Metabolism of polyamines
351906	Apoptotic cleavage of cell adhesion  proteins
352230	Amino acid transport across the plasma membrane
352238	Breakdown of the nuclear lamina
354192	Integrin alphaIIb beta3 signaling
354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 
372708	p130Cas linkage to MAPK signaling for integrins
372790	Signaling by GPCR
373076	Class A/1 (Rhodopsin-like receptors)
373080	Class B/2 (Secretin family receptors)
373752	Netrin-1 signaling
373753	Nephrin family interactions
373755	Semaphorin interactions
373756	SDK interactions
373760	L1CAM interactions
375165	NCAM signaling for neurite out-growth
375170	CDO in myogenesis
375276	Peptide ligand-binding receptors
375280	Amine ligand-binding receptors
375281	Hormone ligand-binding receptors
376172	DSCAM interactions
376176	Signaling by ROBO receptors
379397	Enzymatic degradation of dopamine by COMT
379398	Enzymatic degradation of Dopamine by monoamine oxidase
379401	Dopamine clearance from the synaptic cleft
379716	Cytosolic tRNA aminoacylation
379724	tRNA Aminoacylation
379726	Mitochondrial tRNA aminoacylation
380095	Tachykinin receptors bind tachykinins
380108	Chemokine receptors bind chemokines
380259	Loss of Nlp from mitotic centrosomes
380270	Recruitment of mitotic centrosome proteins and complexes
380284	Loss of proteins required for interphase microtubule organization from the centrosome
380287	Centrosome maturation
380320	Recruitment of NuMA to mitotic centrosomes
380612	Metabolism of serotonin
380615	Serotonin clearance from the synaptic cleft
380972	Energy dependent regulation of mTOR by LKB1-AMPK
380994	ATF4 activates genes
381033	ATF6 (ATF6-alpha) activates chaperones
381038	XBP1(S) activates chaperone genes
381042	PERK regulates gene expression
381070	IRE1alpha activates chaperones
381119	Unfolded Protein Response (UPR)
381183	ATF6 (ATF6-alpha) activates chaperone genes
