cytobandIndex	chromosomeIndex	startPos	endPos	cytobandSize	colourIndex	cytobandName	chromosomeArmIndex	firstTadIndex	lastTadIndex	gapSize	coefficientInit
67	2	12200000	16700000	4500000	2	2p24.3	3	292	295	0	1
68	2	16700000	19200000	2500000	7	2p24.2	3	295	298	0	1
69	2	19200000	24000000	4800000	2	2p24.1	3	298	302	0	1
70	2	24000000	27900000	3900000	7	2p23.3	3	302	308	0	1
71	2	27900000	30000000	2100000	4	2p23.2	3	308	310	0	1
72	2	30000000	32100000	2100000	7	2p23.1	3	310	312	0	1
73	2	32100000	36600000	4500000	2	2p22.3	3	312	317	0	1
74	2	36600000	38600000	2000000	7	2p22.2	3	317	320	0	1
75	2	38600000	41800000	3200000	1	2p22.1	3	320	324	0	1
76	2	41800000	47800000	6000000	7	2p21	3	324	332	0	1
77	2	47800000	52900000	5100000	0	2p16.3	3	332	338	0	1
78	2	52900000	55000000	2100000	7	2p16.2	3	338	340	0	1
79	2	55000000	61300000	6300000	0	2p16.1	3	340	347	0	1
80	2	61300000	64100000	2800000	7	2p15	3	347	352	0	1
81	2	64100000	68600000	4500000	1	2p14	3	351	357	0	1
82	2	68600000	71500000	2900000	7	2p13.3	3	357	362	0	1
83	2	71500000	73500000	2000000	1	2p13.2	3	362	366	0	1
84	2	73500000	75000000	1500000	7	2p13.1	3	366	367	0	1
85	2	75000000	83300000	8300000	0	2p12	3	367	375	0	1
86	2	83300000	90500000	7200000	10	2p11.2	3	375	383	0	1
87	2	90500000	93300000	2800000	5	2p11.1	3	383	385	0	1
88	2	93300000	96800000	3500000	5	2q11.1	4	386	388	0	1
89	2	96800000	102700000	5900000	7	2q11.2	4	388	395	0	1
90	2	102700000	106000000	3300000	1	2q12.1	4	395	398	0	1
91	2	106000000	107500000	1500000	7	2q12.2	4	398	400	0	1
92	2	107500000	110200000	2700000	4	2q12.3	4	400	402	0	1
93	2	110200000	114400000	4200000	7	2q13	4	402	406	0	1
94	2	114400000	118800000	4400000	1	2q14.1	4	406	411	0	1
95	2	118800000	122400000	3600000	7	2q14.2	4	411	415	0	1
96	2	122400000	129900000	7500000	1	2q14.3	4	415	422	0	1
97	2	129900000	132500000	2600000	7	2q21.1	4	422	423	0	1
98	2	132500000	135100000	2600000	4	2q21.2	4	423	426	0	1
99	2	135100000	136800000	1700000	7	2q21.3	4	426	428	0	1
100	2	136800000	142200000	5400000	0	2q22.1	4	428	435	0	1
101	2	142200000	144100000	1900000	7	2q22.2	4	435	438	0	1
102	2	144100000	148700000	4600000	0	2q22.3	4	438	441	0	1
103	2	148700000	149900000	1200000	7	2q23.1	4	441	443	0	1
104	2	149900000	150500000	600000	4	2q23.2	4	443	444	0	1
105	2	150500000	154900000	4400000	7	2q23.3	4	444	448	0	1
106	2	154900000	159800000	4900000	2	2q24.1	4	448	453	0	1
107	2	159800000	163700000	3900000	7	2q24.2	4	453	456	0	1
108	2	163700000	169700000	6000000	2	2q24.3	4	456	460	0	1
109	2	169700000	178000000	8300000	7	2q31.1	4	460	471	0	1
110	2	178000000	180600000	2600000	1	2q31.2	4	471	475	0	1
111	2	180600000	183000000	2400000	7	2q31.3	4	475	478	0	1
112	2	183000000	189400000	6400000	2	2q32.1	4	478	486	0	1
113	2	189400000	191900000	2500000	7	2q32.2	4	485	490	0	1
114	2	191900000	197400000	5500000	2	2q32.3	4	489	497	0	1
115	2	197400000	203300000	5900000	7	2q33.1	4	497	504	0	1
116	2	203300000	204900000	1600000	1	2q33.2	4	504	507	0	1
117	2	204900000	209000000	4100000	7	2q33.3	4	507	509	0	1
118	2	209000000	215300000	6300000	0	2q34	4	509	518	0	1
119	2	215300000	221500000	6200000	7	2q35	4	518	525	0	1
120	2	221500000	225200000	3700000	2	2q36.1	4	525	530	0	1
121	2	225200000	226100000	900000	7	2q36.2	4	530	531	0	1
122	2	226100000	231000000	4900000	0	2q36.3	4	531	536	0	1
123	2	231000000	235600000	4600000	7	2q37.1	4	536	541	0	1
124	2	235600000	237300000	1700000	1	2q37.2	4	541	544	0	1
125	2	237300000	243199373	5899373	7	2q37.3	4	544	552	10000000	1
126	3	0	2800000	2800000	1	3p26.3	5	553	556	0	1
127	3	2800000	4000000	1200000	7	3p26.2	5	556	557	0	1
128	3	4000000	8700000	4700000	1	3p26.1	5	557	563	0	1
129	3	8700000	11800000	3100000	7	3p25.3	5	563	567	0	1
130	3	11800000	13300000	1500000	4	3p25.2	5	567	569	0	1
131	3	13300000	16400000	3100000	7	3p25.1	5	569	574	0	1
132	3	16400000	23900000	7500000	0	3p24.3	5	574	582	0	1
133	3	23900000	26400000	2500000	7	3p24.2	5	582	586	0	1
134	3	26400000	30900000	4500000	2	3p24.1	5	586	591	0	1
135	3	30900000	32100000	1200000	7	3p23	5	591	591	0	1
136	3	32100000	36500000	4400000	1	3p22.3	5	591	595	0	1
137	3	36500000	39400000	2900000	7	3p22.2	5	595	600	0	1
138	3	39400000	43700000	4300000	2	3p22.1	5	600	606	0	1
139	3	43700000	44100000	400000	7	3p21.33	5	606	606	0	1
140	3	44100000	44200000	100000	1	3p21.32	5	606	606	0	1
141	3	44200000	50600000	6400000	7	3p21.31	5	606	616	0	1
142	3	50600000	52300000	1700000	4	3p21.2	5	616	618	0	1
143	3	52300000	54400000	2100000	7	3p21.1	5	618	620	0	1
144	3	54400000	58600000	4200000	1	3p14.3	5	620	626	0	1
145	3	58600000	63700000	5100000	7	3p14.2	5	626	632	0	1
146	3	63700000	69800000	6100000	1	3p14.1	5	632	641	0	1
147	3	69800000	74200000	4400000	7	3p13	5	641	647	0	1
148	3	74200000	79800000	5600000	2	3p12.3	5	647	653	0	1
149	3	79800000	83500000	3700000	7	3p12.2	5	653	656	0	1
150	3	83500000	87200000	3700000	2	3p12.1	5	656	659	0	1
151	3	87200000	87900000	700000	7	3p11.2	5	659	660	0	1
152	3	87900000	91000000	3100000	5	3p11.1	5	660	664	0	1
153	3	91000000	93900000	2900000	5	3q11.1	6	665	666	0	1
154	3	93900000	98300000	4400000	3	3q11.2	6	666	671	0	1
155	3	98300000	100000000	1700000	7	3q12.1	6	671	674	0	1
156	3	100000000	100900000	900000	4	3q12.2	6	673	675	0	1
157	3	100900000	102800000	1900000	7	3q12.3	6	675	678	0	1
158	3	102800000	106200000	3400000	2	3q13.11	6	678	680	0	1
159	3	106200000	107900000	1700000	7	3q13.12	6	680	683	0	1
160	3	107900000	111300000	3400000	1	3q13.13	6	683	686	0	1
161	3	111300000	113500000	2200000	7	3q13.2	6	685	689	0	1
162	3	113500000	117300000	3800000	2	3q13.31	6	689	694	0	1
163	3	117300000	119000000	1700000	7	3q13.32	6	693	696	0	1
164	3	119000000	121900000	2900000	2	3q13.33	6	696	700	0	1
165	3	121900000	123800000	1900000	7	3q21.1	6	700	702	0	1
166	3	123800000	125800000	2000000	4	3q21.2	6	702	704	0	1
167	3	125800000	129200000	3400000	7	3q21.3	6	704	709	0	1
168	3	129200000	133700000	4500000	4	3q22.1	6	709	714	0	1
169	3	133700000	135700000	2000000	7	3q22.2	6	714	715	0	1
170	3	135700000	138700000	3000000	4	3q22.3	6	715	719	0	1
171	3	138700000	142800000	4100000	7	3q23	6	718	724	0	1
172	3	142800000	148900000	6100000	0	3q24	6	724	731	0	1
173	3	148900000	152100000	3200000	7	3q25.1	6	731	737	0	1
174	3	152100000	155000000	2900000	1	3q25.2	6	737	739	0	1
175	3	155000000	157000000	2000000	7	3q25.31	6	739	742	0	1
176	3	157000000	159000000	2000000	1	3q25.32	6	742	745	0	1
177	3	159000000	160700000	1700000	7	3q25.33	6	744	747	0	1
178	3	160700000	167600000	6900000	0	3q26.1	6	747	753	0	1
179	3	167600000	170900000	3300000	7	3q26.2	6	753	757	0	1
180	3	170900000	175700000	4800000	2	3q26.31	6	757	761	0	1
181	3	175700000	179000000	3300000	7	3q26.32	6	761	764	0	1
182	3	179000000	182700000	3700000	2	3q26.33	6	764	768	0	1
183	3	182700000	184500000	1800000	7	3q27.1	6	768	771	0	1
184	3	184500000	186000000	1500000	4	3q27.2	6	771	774	0	1
185	3	186000000	187900000	1900000	7	3q27.3	6	774	776	0	1
186	3	187900000	192300000	4400000	2	3q28	6	776	781	0	1
187	3	192300000	198022430	5722430	7	3q29	6	781	789	10000000	1
188	4	0	4500000	4500000	7	4p16.3	7	790	797	0	1
189	4	4500000	6000000	1500000	4	4p16.2	7	797	797	0	1
190	4	6000000	11300000	5300000	7	4p16.1	7	797	803	0	1
191	4	11300000	15200000	3900000	1	4p15.33	7	803	806	0	1
192	4	15200000	17800000	2600000	7	4p15.32	7	806	808	0	1
193	4	17800000	21300000	3500000	2	4p15.31	7	808	810	0	1
194	4	21300000	27700000	6400000	7	4p15.2	7	810	818	0	1
195	4	27700000	35800000	8100000	0	4p15.1	7	818	828	0	1
196	4	35800000	41200000	5400000	7	4p14	7	828	837	0	1
197	4	41200000	44600000	3400000	1	4p13	7	837	841	0	1
198	4	44600000	48200000	3600000	7	4p12	7	841	846	0	1
199	4	48200000	50400000	2200000	5	4p11	7	846	847	0	1
200	4	50400000	52700000	2300000	5	4q11	8	848	849	0	1
201	4	52700000	59500000	6800000	7	4q12	8	849	857	0	1
202	4	59500000	66600000	7100000	0	4q13.1	8	857	862	0	1
203	4	66600000	70500000	3900000	7	4q13.2	8	862	866	0	1
204	4	70500000	76300000	5800000	2	4q13.3	8	866	873	0	1
205	4	76300000	78900000	2600000	7	4q21.1	8	873	875	0	1
206	4	78900000	82400000	3500000	1	4q21.21	8	875	879	0	1
207	4	82400000	84100000	1700000	7	4q21.22	8	879	881	0	1
208	4	84100000	86900000	2800000	4	4q21.23	8	881	884	0	1
209	4	86900000	88000000	1100000	7	4q21.3	8	884	886	0	1
210	4	88000000	93700000	5700000	2	4q22.1	8	886	893	0	1
211	4	93700000	95100000	1400000	7	4q22.2	8	893	894	0	1
212	4	95100000	98800000	3700000	2	4q22.3	8	893	896	0	1
213	4	98800000	101100000	2300000	7	4q23	8	896	900	0	1
214	4	101100000	107700000	6600000	1	4q24	8	900	906	0	1
215	4	107700000	114100000	6400000	7	4q25	8	906	916	0	1
216	4	114100000	120800000	6700000	2	4q26	8	916	923	0	1
217	4	120800000	123800000	3000000	7	4q27	8	923	926	0	1
218	4	123800000	128800000	5000000	1	4q28.1	8	926	932	0	1
219	4	128800000	131100000	2300000	7	4q28.2	8	932	934	0	1
220	4	131100000	139500000	8400000	0	4q28.3	8	934	942	0	1
221	4	139500000	141500000	2000000	7	4q31.1	8	942	944	0	1
222	4	141500000	146800000	5300000	4	4q31.21	8	944	950	0	1
223	4	146800000	148500000	1700000	7	4q31.22	8	950	951	0	1
224	4	148500000	151100000	2600000	4	4q31.23	8	951	955	0	1
225	4	151100000	155600000	4500000	7	4q31.3	8	955	962	0	1
226	4	155600000	161800000	6200000	0	4q32.1	8	962	967	0	1
227	4	161800000	164500000	2700000	7	4q32.2	8	967	971	0	1
228	4	164500000	170100000	5600000	0	4q32.3	8	971	978	0	1
229	4	170100000	171900000	1800000	7	4q33	8	978	980	0	1
230	4	171900000	176300000	4400000	2	4q34.1	8	980	986	0	1
231	4	176300000	177500000	1200000	7	4q34.2	8	986	988	0	1
232	4	177500000	183200000	5700000	0	4q34.3	8	988	993	0	1
233	4	183200000	187100000	3900000	7	4q35.1	8	993	999	0	1
234	4	187100000	191154276	4054276	4	4q35.2	8	999	1003	10000000	1
235	5	0	4500000	4500000	7	5p15.33	9	1004	1008	0	1
236	5	4500000	6300000	1800000	4	5p15.32	9	1008	1010	0	1
237	5	6300000	9800000	3500000	7	5p15.31	9	1010	1014	0	1
238	5	9800000	15000000	5200000	1	5p15.2	9	1014	1020	0	1
239	5	15000000	18400000	3400000	7	5p15.1	9	1020	1024	0	1
240	5	18400000	23300000	4900000	0	5p14.3	9	1024	1029	0	1
241	5	23300000	24600000	1300000	7	5p14.2	9	1029	1030	0	1
242	5	24600000	28900000	4300000	0	5p14.1	9	1030	1035	0	1
243	5	28900000	33800000	4900000	7	5p13.3	9	1035	1039	0	1
244	5	33800000	38400000	4600000	4	5p13.2	9	1039	1045	0	1
245	5	38400000	42500000	4100000	7	5p13.1	9	1045	1048	0	1
246	5	42500000	46100000	3600000	1	5p12	9	1048	1053	0	1
247	5	46100000	48400000	2300000	5	5p11	9	1053	1054	0	1
248	5	48400000	50700000	2300000	5	5q11.1	10	1055	1056	0	1
249	5	50700000	58900000	8200000	7	5q11.2	10	1056	1066	0	1
250	5	58900000	62900000	4000000	2	5q12.1	10	1066	1069	0	1
251	5	62900000	63200000	300000	7	5q12.2	10	1069	1069	0	1
252	5	63200000	66700000	3500000	2	5q12.3	10	1069	1073	0	1
253	5	66700000	68400000	1700000	7	5q13.1	10	1073	1075	0	1
254	5	68400000	73300000	4900000	1	5q13.2	10	1075	1081	0	1
255	5	73300000	76900000	3600000	7	5q13.3	10	1081	1086	0	1
256	5	76900000	81400000	4500000	1	5q14.1	10	1086	1090	0	1
257	5	81400000	82800000	1400000	7	5q14.2	10	1090	1091	0	1
258	5	82800000	92300000	9500000	0	5q14.3	10	1091	1101	0	1
259	5	92300000	98200000	5900000	7	5q15	10	1101	1107	0	1
260	5	98200000	102800000	4600000	0	5q21.1	10	1107	1111	0	1
261	5	102800000	104500000	1700000	7	5q21.2	10	1111	1114	0	1
262	5	104500000	109600000	5100000	0	5q21.3	10	1114	1118	0	1
263	5	109600000	111500000	1900000	7	5q22.1	10	1118	1121	0	1
264	5	111500000	113100000	1600000	1	5q22.2	10	1120	1125	0	1
265	5	113100000	115200000	2100000	7	5q22.3	10	1125	1126	0	1
266	5	115200000	121400000	6200000	0	5q23.1	10	1126	1131	0	1
267	5	121400000	127300000	5900000	7	5q23.2	10	1131	1137	0	1
268	5	127300000	130600000	3300000	0	5q23.3	10	1137	1140	0	1
269	5	130600000	136200000	5600000	7	5q31.1	10	1140	1148	0	1
270	5	136200000	139500000	3300000	4	5q31.2	10	1148	1151	0	1
271	5	139500000	144500000	5000000	7	5q31.3	10	1151	1159	0	1
272	5	144500000	149800000	5300000	2	5q32	10	1159	1166	0	1
273	5	149800000	152700000	2900000	7	5q33.1	10	1166	1170	0	1
274	5	152700000	155700000	3000000	1	5q33.2	10	1170	1173	0	1
275	5	155700000	159900000	4200000	7	5q33.3	10	1173	1179	0	1
276	5	159900000	168500000	8600000	0	5q34	10	1179	1186	0	1
277	5	168500000	172800000	4300000	7	5q35.1	10	1186	1193	0	1
278	5	172800000	176600000	3800000	4	5q35.2	10	1193	1199	0	1
279	5	176600000	180915260	4315260	7	5q35.3	10	1199	1206	10000000	1
280	6	0	2300000	2300000	7	6p25.3	11	1207	1209	0	1
281	6	2300000	4200000	1900000	4	6p25.2	11	1209	1212	0	1
282	6	4200000	7100000	2900000	7	6p25.1	11	1212	1216	0	1
283	6	7100000	10600000	3500000	1	6p24.3	11	1216	1220	0	1
284	6	10600000	11600000	1000000	7	6p24.2	11	1220	1221	0	1
285	6	11600000	13400000	1800000	4	6p24.1	11	1221	1224	0	1
286	6	13400000	15200000	1800000	7	6p23	11	1224	1225	0	1
287	6	15200000	25200000	10000000	2	6p22.3	11	1225	1236	0	1
288	6	25200000	27000000	1800000	7	6p22.2	11	1236	1238	0	1
289	6	27000000	30400000	3400000	1	6p22.1	11	1238	1243	0	1
290	6	30400000	32100000	1700000	7	6p21.33	11	1242	1246	0	1
291	6	32100000	33500000	1400000	4	6p21.32	11	1246	1248	0	1
292	6	33500000	36600000	3100000	7	6p21.31	11	1248	1252	0	1
293	6	36600000	40500000	3900000	4	6p21.2	11	1252	1257	0	1
294	6	40500000	46200000	5700000	7	6p21.1	11	1257	1266	0	1
295	6	46200000	51800000	5600000	0	6p12.3	11	1266	1272	0	1
296	6	51800000	52900000	1100000	7	6p12.2	11	1272	1274	0	1
297	6	52900000	57000000	4100000	0	6p12.1	11	1274	1281	0	1
298	6	57000000	58700000	1700000	7	6p11.2	11	1281	1283	0	1
299	6	58700000	61000000	2300000	5	6p11.1	11	1283	1284	0	1
300	6	61000000	63300000	2300000	5	6q11.1	12	1285	1286	0	1
301	6	63300000	63400000	100000	7	6q11.2	12	1286	1286	0	1
302	6	63400000	70000000	6600000	0	6q12	12	1286	1292	0	1
303	6	70000000	75900000	5900000	7	6q13	12	1292	1297	0	1
304	6	75900000	83900000	8000000	1	6q14.1	12	1297	1305	0	1
305	6	83900000	84900000	1000000	7	6q14.2	12	1304	1306	0	1
306	6	84900000	88000000	3100000	1	6q14.3	12	1306	1309	0	1
307	6	88000000	93100000	5100000	7	6q15	12	1309	1314	0	1
308	6	93100000	99500000	6400000	0	6q16.1	12	1314	1321	0	1
309	6	99500000	100600000	1100000	7	6q16.2	12	1321	1322	0	1
310	6	100600000	105500000	4900000	0	6q16.3	12	1322	1327	0	1
311	6	105500000	114600000	9100000	7	6q21	12	1327	1338	0	1
312	6	114600000	118300000	3700000	2	6q22.1	12	1338	1341	0	1
313	6	118300000	118500000	200000	7	6q22.2	12	1341	1341	0	1
314	6	118500000	126100000	7600000	0	6q22.31	12	1341	1349	0	1
315	6	126100000	127100000	1000000	7	6q22.32	12	1349	1350	0	1
316	6	127100000	130300000	3200000	2	6q22.33	12	1350	1353	0	1
317	6	130300000	131200000	900000	7	6q23.1	12	1353	1355	0	1
318	6	131200000	135200000	4000000	1	6q23.2	12	1355	1358	0	1
319	6	135200000	139000000	3800000	7	6q23.3	12	1358	1362	0	1
320	6	139000000	142800000	3800000	2	6q24.1	12	1362	1367	0	1
321	6	142800000	145600000	2800000	7	6q24.2	12	1367	1371	0	1
322	6	145600000	149000000	3400000	2	6q24.3	12	1371	1377	0	1
323	6	149000000	152500000	3500000	7	6q25.1	12	1377	1382	0	1
324	6	152500000	155500000	3000000	1	6q25.2	12	1382	1384	0	1
325	6	155500000	161000000	5500000	7	6q25.3	12	1384	1391	0	1
326	6	161000000	164500000	3500000	1	6q26	12	1391	1395	0	1
327	6	164500000	171115067	6615067	7	6q27	12	1395	1407	10000000	1
328	7	0	2800000	2800000	7	7p22.3	13	1408	1414	0	1
329	7	2800000	4500000	1700000	4	7p22.2	13	1414	1414	0	1
330	7	4500000	7300000	2800000	7	7p22.1	13	1414	1416	0	1
331	7	7300000	13800000	6500000	0	7p21.3	13	1416	1425	0	1
332	7	13800000	16500000	2700000	7	7p21.2	13	1425	1427	0	1
333	7	16500000	20900000	4400000	0	7p21.1	13	1427	1433	0	1
334	7	20900000	25500000	4600000	7	7p15.3	13	1433	1439	0	1
335	7	25500000	28000000	2500000	1	7p15.2	13	1439	1443	0	1
336	7	28000000	28800000	800000	7	7p15.1	13	1443	1444	0	1
337	7	28800000	35000000	6200000	2	7p14.3	13	1444	1451	0	1
338	7	35000000	37200000	2200000	7	7p14.2	13	1451	1454	0	1
339	7	37200000	43300000	6100000	10	7p14.1	13	1454	1460	0	1
340	7	43300000	45400000	2100000	7	7p13	13	1460	1464	0	1
341	7	45400000	49000000	3600000	2	7p12.3	13	1464	1469	0	1
342	7	49000000	50500000	1500000	7	7p12.2	13	1469	1471	0	1
343	7	50500000	54000000	3500000	2	7p12.1	13	1470	1473	0	1
344	7	54000000	58000000	4000000	7	7p11.2	13	1473	1478	0	1
345	7	58000000	59900000	1900000	5	7p11.1	13	1478	1479	0	1
346	7	59900000	61700000	1800000	5	7q11.1	14	1480	1482	0	1
347	7	61700000	67000000	5300000	7	7q11.21	14	1482	1490	0	1
348	7	67000000	72200000	5200000	1	7q11.22	14	1490	1495	0	1
349	7	72200000	77500000	5300000	7	7q11.23	14	1495	1503	0	1
350	7	77500000	86400000	8900000	0	7q21.11	14	1503	1512	0	1
351	7	86400000	88200000	1800000	7	7q21.12	14	1512	1514	0	1
352	7	88200000	91100000	2900000	2	7q21.13	14	1514	1516	0	1
353	7	91100000	92800000	1700000	7	7q21.2	14	1516	1518	0	1
354	7	92800000	98000000	5200000	2	7q21.3	14	1518	1523	0	1
355	7	98000000	103800000	5800000	7	7q22.1	14	1523	1528	0	1
356	7	103800000	104500000	700000	1	7q22.2	14	1528	1529	0	1
357	7	104500000	107400000	2900000	7	7q22.3	14	1529	1533	0	1
358	7	107400000	114600000	7200000	2	7q31.1	14	1533	1541	0	1
359	7	114600000	117400000	2800000	7	7q31.2	14	1541	1545	0	1
360	7	117400000	121100000	3700000	2	7q31.31	14	1545	1548	0	1
361	7	121100000	123800000	2700000	7	7q31.32	14	1548	1553	0	1
362	7	123800000	127100000	3300000	2	7q31.33	14	1553	1556	0	1
363	7	127100000	129200000	2100000	7	7q32.1	14	1556	1559	0	1
364	7	129200000	130400000	1200000	4	7q32.2	14	1559	1562	0	1
365	7	130400000	132600000	2200000	7	7q32.3	14	1562	1566	0	1
366	7	132600000	138200000	5600000	1	7q33	14	1566	1571	0	1
367	7	138200000	143100000	4900000	10	7q34	14	1571	1577	0	1
368	7	143100000	147900000	4800000	2	7q35	14	1577	1581	0	1
369	7	147900000	152600000	4700000	7	7q36.1	14	1581	1587	0	1
370	7	152600000	155100000	2500000	4	7q36.2	14	1587	1590	0	1
371	7	155100000	159138663	4038663	7	7q36.3	14	1590	1595	10000000	1
372	8	0	2200000	2200000	7	8p23.3	15	1596	1598	0	1
373	8	2200000	6200000	4000000	2	8p23.2	15	1598	1602	0	1
374	8	6200000	12700000	6500000	7	8p23.1	15	1602	1613	0	1
375	8	12700000	19000000	6300000	0	8p22	15	1613	1622	0	1
376	8	19000000	23300000	4300000	7	8p21.3	15	1622	1627	0	1
377	8	23300000	27400000	4100000	1	8p21.2	15	1627	1632	0	1
378	8	27400000	28800000	1400000	7	8p21.1	15	1632	1633	0	1
379	8	28800000	36500000	7700000	2	8p12	15	1633	1641	0	1
380	8	36500000	38300000	1800000	7	8p11.23	15	1641	1644	0	1
381	8	38300000	39700000	1400000	4	8p11.22	15	1644	1645	0	1
382	8	39700000	43100000	3400000	7	8p11.21	15	1645	1650	0	1
383	8	43100000	45600000	2500000	5	8p11.1	15	1650	1651	0	1
384	8	45600000	48100000	2500000	5	8q11.1	16	1652	1654	0	1
385	8	48100000	52200000	4100000	7	8q11.21	16	1654	1658	0	1
386	8	52200000	52600000	400000	2	8q11.22	16	1658	1658	0	1
387	8	52600000	55500000	2900000	7	8q11.23	16	1658	1661	0	1
388	8	55500000	61600000	6100000	1	8q12.1	16	1661	1668	0	1
389	8	61600000	62200000	600000	7	8q12.2	16	1668	1669	0	1
390	8	62200000	66000000	3800000	1	8q12.3	16	1669	1671	0	1
391	8	66000000	68000000	2000000	7	8q13.1	16	1671	1675	0	1
392	8	68000000	70500000	2500000	1	8q13.2	16	1675	1677	0	1
393	8	70500000	73900000	3400000	7	8q13.3	16	1677	1680	0	1
394	8	73900000	78300000	4400000	0	8q21.11	16	1680	1685	0	1
395	8	78300000	80100000	1800000	7	8q21.12	16	1685	1687	0	1
396	8	80100000	84600000	4500000	2	8q21.13	16	1687	1695	0	1
397	8	84600000	86900000	2300000	7	8q21.2	16	1695	1700	0	1
398	8	86900000	93300000	6400000	0	8q21.3	16	1699	1707	0	1
399	8	93300000	99000000	5700000	7	8q22.1	16	1707	1713	0	1
