geneId	chromosomeIndex	startPos	endPos	geneTypeIndex	cytobandIndices	tadIndices	geneName	cancerGene	rppaIds	batch	reactomePathwayIds	orientation
2933	7	150497491	150502208	5	369	1584	TMEM176A	0	.	0	.	1
3056	12	9092959	9102551	5	535	2252	M6PR	0	.	0	432720;6811440;8856825;8856828	-1
3096	23	117031776	117251303	5	843	3432	KLHL13	0	.	0	983168;8951664	-1
3137	2	72356367	72375167	5	83	363;364	CYP26B1	0	.	0	211916;5365859;5579015	-1
3147	7	8152814	8302317	5	331	1417	ICA1	0	.	0	.	-1
3249	16	90071273	90086536	5	698	2819	DBNDD1	0	.	0	.	-1
3393	2	202565277	202645912	5	115	503;504	ALS2	0	.	0	8876198	-1
3400	2	202047604	202094129	5	115	502;503	CASP10	1	.	0	75157;75158;933543;6803207	1
3402	2	201980827	202041410	5	115	502	CFLAR	1	.	0	69416;75158;3371378;5213460;5218900	1
3436	2	188328957	188430487	5	112	484;485	TFPI	0	.	0	140834	-1
3509	2	37458774	37480546	5	74	318	NDUFAF7	0	.	0	6799198	1
3756	3	50126341	50156454	5	141	615	RBM5	1	.	0	72163	1
3987	8	17155539	17271037	5	375	1619	MTMR7	0	.	0	1660517;1855183	-1
3989	8	17354597	17428082	5	375	1619;1620	SLC7A2	0	.	0	352230	1
4059	7	127228399	127231759	5	363	1556;1557	ARF5	0	.	0	6807878;6811434	1
4139	17	26691378	26731067	5	706	2854	SARM1	0	.	0	166166;168164;936964;937041;937072	1
4142	17	26674203	26684545	5	706	2854	POLDIP2	0	.	0	.	-1
4399	3	129274018	129325661	5	168	709	PLXND1	1	.	0	416700;9013508	-1
4455	1	33473541	33546597	5	12	40;41	AK2	0	.	0	499943	-1
4468	4	15779898	15854853	5	192	807	CD38	0	.	0	196807	1
4478	12	2904119	2914589	5	533	2246	FKBP4	1	.	0	3371453;3371497;3371511;3371568;3371571;8939211;9018519	1
4487	1	23345941	23410182	5	8	29	KDM1A	1	.	0	983231;3214815;3214842;5625886;8943724;9018519	1
4534	3	49977440	50137478	5	141	615	RBM6	0	.	0	.	1
4660	17	3763609	3798185	5	700	2828	CAMKK1	0	.	0	442717	-1
4700	12	21621845	21654603	5	540	2270	RECQL	1	.	0	.	-1
4766	7	92861653	92990433	5	354	1518	VPS50	0	.	0	.	1
4776	19	36245470	36248980	5	753	3050	HSPB6	0	.	0	.	-1
4777	19	36265434	36279724	5	753	3050	ARHGAP33	0	.	0	194840	1
4779	16	23592323	23607677	5	680	2758	NDUFAB1	0	.	0	77289;389661;611105;6799198	-1
4799	7	95212811	95225803	5	354	1520	PDK4	0	.	0	204174;5362517	-1
4809	6	110745890	110797844	5	311	1333;1334	SLC22A16	0	.	0	549127	-1
4838	3	50378541	50384283	5	141	615;616	ZMYND10	1	.	0	.	-1
4846	7	20654830	20816658	5	333	1432;1433	ABCB5	1	.	0	382556	1
4848	23	25021811	25034537	5	819	3333	ARX	0	.	0	.	-1
4864	7	95749532	95951459	5	354	1521	SLC25A13	0	.	0	70263;1268020	-1
4866	7	116593292	116870157	5	359	1544;1545	ST7	0	.	0	.	1
4897	17	45195069	45266788	5	711	2875	CDC27	1	.	0	69017;141430;174048;174084;174154;174178;174184;176407;176408;176409;176412;179409;983168;2467813;2559582	-1
4939	17	42325753	42345509	5	710	2873	SLC4A1	0	.	0	425381;1237044;1247673;5619050	-1
4948	7	93053799	93204042	5	354	1518;1519	CALCR	1	.	0	418555;419812	-1
4961	23	11129421	11141198	5	815	3322	HCCS	0	.	0	.	1
4975	17	7128660	7137864	5	701	2830;2831	DVL2	1	.	0	201681;201688;2028269;4086400;4608870;4641258;4641262;5099900;5368598;5663220;8856825;8856828	-1
5001	16	2902728	2908171	5	674	2729	PRSS22	0	.	0	.	-1
5007	19	18942747	18979045	5	747	3036	UPF1	0	.	0	975956;975957	1
5020	7	26706681	27034858	5	335	1440;1441	SKAP2	0	.	0	391160	-1
5022	23	118602363	118605282	5	843	3434;3435	SLC25A5	0	.	0	180897;422356	1
5059	4	110481361	110609882	5	215	910	MCUB	0	.	0	8949215;8949664	1
5073	7	27221129	27224842	5	335	1441;1442	HOXA11	1	.	0	.	-1
5075	7	102113565	102119354	5	355	1526	POLR2J	0	.	0	72086;72163;72165;72203;73776;73779;75953;75955;76042;77075;112382;113418;167152;167158;167160;167161;167162;167172;167200;167238;167242;167243;167246;167287;167290;168325;203927;452723;674695;5578749;5601884;5617472;6781823;6781827;6782135;6782210;6796648;6803529;6807505;8851708;9018519	-1
5100	17	5344232	5372380	5	700	2829	DHX33	0	.	0	.	-1
5102	17	41717756	41739322	5	710	2872	MEOX1	0	.	0	.	-1
5108	7	11409984	11871824	5	331	1422;1423	THSD7A	1	.	0	5083635;5173214	-1
5156	17	33307513	33336762	5	707	2865	LIG3	1	.	0	110381;5649702;5685939;5696397;6782210	1
5175	12	48055032	48099844	5	547	2296;2297	RPAP3	0	.	0	.	-1
5187	16	20621565	20808903	5	679	2753;2754	ACSM3	0	.	0	77352	1
5189	16	20817751	20860990	5	679	2754	REXO5	0	.	0	.	1
5194	16	57462081	57481440	5	689	2786	CIAPIN1	0	.	0	2564830	-1
5206	19	2328614	2354804	5	743	3017	SPPL2B	0	.	0	5357905	1
5238	9	35104109	35116338	5	422	1810	FAM214B	1	.	0	.	-1
5243	17	46103533	46115392	5	711	2876	COPZ2	0	.	0	6807878;6811434	-1
5249	7	106685094	106802256	5	357	1532;1533	PRKAR2B	1	.	0	163615;164378;180024;380259;380270;380284;380320;381676;432040;983231;2565942;5610787;5620912;8854518	1
5302	23	11776278	11793872	5	815	3322;3323	MSL3	1	.	0	3214847	1
5339	16	3775055	3930727	5	674	2730	CREBBP	1	.	0	201722;210744;350054;381340;400206;400253;918233;933541;1234158;1368082;1368108;1912408;1989781;2122947;2151201;2426168;2644606;2894862;3134973;3214847;3371568;3899300;5617472;5621575;6803204;8866907;8939246;8941856;9013508;9013695;9018519	-1
5379	17	56378589	56406121	5	713	2889	TSPOAP1	0	.	0	181429;181430;196108;210500;212676;264642	-1
5381	17	56347217	56358296	5	713	2889	MPO	1	.	0	6798695	-1
5421	7	94926988	94954019	5	354	1520	PON1	0	.	0	2142688	-1
5436	2	75879126	75938115	5	85	367;368	GCFC2	0	.	0	72163	-1
5448	2	74648805	74652882	5	84	366	WDR54	0	.	0	.	1
5469	7	86974997	87029111	5	351	1513	CROT	0	.	0	389887;9033241	1
5471	7	87031013	87109751	5	351	1513	ABCB4	1	.	0	382556;1989781;5678771	-1
5483	7	104654626	104754808	5	357	1530	KMT2E	1	.	0	3214841;8936459	1
5486	7	75471920	75518244	5	349	1502	RHBDD2	0	.	0	.	1
5513	16	1031808	1036979	5	674	2726	SOX8	0	.	0	.	1
5700	6	82879700	82957471	5	304	1303;1304	IBTK	0	.	0	.	-1
5801	11	3360491	3400452	5	498	2079;2080	ZNF195	0	.	0	212436	-1
5810	13	77618790	77901185	5	599	2465	MYCBP2	1	.	0	.	-1
5812	13	77566733	77601330	5	599	2464;2465	FBXL3	0	.	0	390471;400253;983168;8951664	-1
5844	16	30483979	30534506	5	682	2766	ITGAL	1	.	0	198933;202733;216083;6798695;8949275	1
5882	17	48172101	48189516	5	712	2879	PDK2	0	.	0	204174;5362517	1
5884	17	48133332	48167845	5	712	2879	ITGA3	1	.	0	210991;216083;3000157;8874081	1
5889	23	24167290	24234372	5	818	3332	ZFX	1	.	0	.	1
5893	23	119561682	119603220	5	843	3436	LAMP2	0	.	0	114608;6798695	-1
5961	17	42449548	42466873	5	710	2873	ITGA2B	1	.	0	114608;216083;354192;354194;372708;445144;3000178;5674135;6802946;6802948;6802949;6802952;6802955;8936459	-1
5981	7	95107756	95169544	5	354	1520	ASB4	0	.	0	983168;8951664	1
6007	16	19513011	19533467	5	679	2751;2752	GDE1	0	.	0	6814848	-1
6015	19	18699495	18703146	5	747	3036	C19orf60	0	.	0	.	1
6016	19	18683030	18718551	5	747	3036	CRLF1	0	.	0	6788467;9020956	-1
6025	17	45884738	45899200	5	711	2876	OSBPL7	0	.	0	192105	-1
6042	17	31254928	31272124	5	706	2861	TMEM98	0	.	0	.	1
6047	17	7191571	7197934	5	701	2831	YBX2	0	.	0	.	-1
6059	17	39502344	39507064	5	709	2869	KRT33A	0	.	0	6805567;6809371	-1
6062	17	43340488	43394406	5	710	2874	MAP3K14	1	.	0	389357;5607761;5668541;5676590;5676594	-1
6071	11	17414432	17498392	5	501	2098	ABCC8	0	.	0	422356;1296025;5683177	-1
6116	16	24266874	24374122	5	681	2759	CACNG3	1	.	0	399719;5576892;5576893;5682910	1
6118	11	60691935	60704631	5	512	2149	TMEM132A	0	.	0	381426;8957275	1
6125	17	33905065	34053428	5	707	2865;2866	AP2B1	0	.	0	167590;177504;182218;416993;437239;2132295;3928665;5099900;5140745;8856825;8856828;8866427;8964038	1
6128	7	97361220	97369784	5	354	1522	TAC1	0	.	0	380095;416476	1
6194	16	3313800	3351401	5	674	2729	ZNF263	0	.	0	212436	1
6210	16	57406370	57418960	5	689	2786	CX3CL1	1	.	0	380108;418594	1
6282	17	48620419	48633213	5	712	2880	SPATA20	0	.	0	.	1
6283	17	48638429	48704835	5	712	2880	CACNA1G	1	.	0	419037	1
6327	16	3068446	3072384	5	674	2729	TNFRSF12A	0	.	0	5668541;5676594	1
6377	7	96634860	96640351	5	354	1521	DLX6	0	.	0	8939902	1
6432	14	71189243	71276251	5	630	2572	MAP3K9	1	.	0	.	-1
6451	7	39663082	39747723	5	339	1457	RALA	1	.	0	171007;1445148;8950505	1
6453	7	97920963	98030380	5	354;355	1523	BAIAP2L1	0	.	0	.	-1
6459	7	139784546	139876835	5	367	1572	KDM7A	1	.	0	3214842;6802952	-1
6468	7	13930853	14031050	5	332	1425	ETV1	1	.	0	.	-1
6530	7	141250989	141355044	5	367	1574	AGK	0	.	0	1483206;6802952	1
6534	11	67776048	67796749	5	515	2160	ALDH3B1	1	.	0	1660661;6798695	1
6555	1	55245385	55266940	5	17	70	TTC22	0	.	0	.	-1
6576	7	77428109	77586820	5	349;350	1503	PHTF2	0	.	0	.	1
6606	7	75398851	75419214	5	349	1501;1502	CCL26	0	.	0	.	-1
6607	2	242295658	242434256	5	125	551	FARP2	1	.	0	399955	1
6611	11	17515442	17565963	5	501	2098;2099	USH1C	0	.	0	.	-1
6625	7	30536237	30544460	5	337	1446	GGCT	0	.	0	174403	-1
6634	7	87505531	87538856	5	351	1513	DBF4	1	.	0	68962;176187	1
6638	19	3594504	3606838	5	743	3019	TBXA2R	0	.	0	391908;416476;416482;428930	-1
6652	7	112063023	112121072	5	358	1538;1539	IFRD1	0	.	0	.	1
6659	19	40194946	40200084	5	755	3055	LGALS14	0	.	0	.	1
6695	17	13972813	14111994	5	702	2839	COX10	0	.	0	189451	1
6704	7	73868120	74016930	5	349	1498	GTF2IRD1	1	.	0	.	1
6712	19	39876492	39881835	5	755	3055	PAF1	1	.	0	75955;112382;674695;8866654	-1
6715	7	38762563	38971994	5	339	1456;1457	VPS41	0	.	0	.	-1
6740	17	12692856	12894960	5	702	2838;2839	ARHGAP44	0	.	0	194840	1
6744	17	12895708	12921504	5	702	2838;2839	ELAC2	0	.	0	6784531;6785470;8868766	-1
6747	7	12610203	12699804	5	331	1424	SCIN	1	.	0	.	1
6756	23	2822011	2847392	5	812	3313	ARSD	1	.	0	1660662;1663150	-1
6757	23	7866288	7895780	5	814	3318	PNPLA4	0	.	0	163560	-1
6788	17	10204182	10276447	5	701	2835;2836	MYH13	0	.	0	.	-1
6831	12	1797740	1897844	5	533	2246	ADIPOR2	0	.	0	163680	1
6837	5	133622041	133706738	5	269	1144	CDKL3	0	.	0	.	-1
7001	2	158733214	158992666	5	106	451;452	UPP2	0	.	0	73614;73621	1
7038	16	2867181	2876305	5	674	2729	PRSS21	0	.	0	163125	1
7047	19	45582546	45808541	5	757	3059	MARK4	0	.	0	5620912	1
7062	4	15964699	16086001	5	192	807	PROM1	1	.	0	.	-1
7080	19	18043825	18054800	5	747	3035	CCDC124	0	.	0	.	1
7129	19	42055886	42093197	5	755	3057	CEACAM21	0	.	0	.	1
7168	17	2496504	2588909	5	699	2825	PAFAH1B1	0	.	0	68877;141444;380259;380270;380284;380320;2467813;2500257;2565942;5620912;5663220;6811436;8854518	1
7171	17	26083792	26127525	5	706	2854	NOS2	1	.	0	392154;1222556;6785807;9033241	-1
7174	17	11501748	11873065	5	702	2837	DNAH9	1	.	0	.	1
7202	17	26941458	26972472	5	706	2854;2855	KIAA0100	0	.	0	.	-1
7216	17	26800311	26824799	5	706	2854	SLC13A2	0	.	0	433137	1
7237	17	9813926	10101868	5	701	2835	GAS7	1	.	0	.	-1
7255	19	45666186	45681495	5	757	3059	TRAPPC6A	0	.	0	204005;8876198	-1
7264	19	3777968	3802127	5	743	3019	MATK	0	.	0	8863795	-1
7306	19	42177235	42210895	5	755	3057	CEACAM7	0	.	0	163125	-1
7312	17	62006100	62009714	5	716	2896	CD79B	1	.	0	983695;5690714	-1
7314	17	62015914	62050278	5	716	2896	SCN4A	0	.	0	445095;5576892	-1
7341	1	113066140	113163447	5	30	137	ST7L	0	.	0	.	-1
7350	23	153524024	153558700	5	851	3471	TKTL1	0	.	0	.	1
7372	11	31806327	31839610	5	505	2114	PAX6	1	.	0	210745;381771;400511;5617472	-1
7376	16	834974	838397	5	674	2726	RPUSD1	0	.	0	.	-1
7384	16	108058	126354	5	674	2725	RHBDF1	0	.	0	.	-1
7392	16	238968	279462	5	674	2725	LUC7L	0	.	0	.	-1
7402	3	50400230	50541675	5	141	616	CACNA2D2	1	.	0	112308;400042;422356;5576892;5576893	-1
7516	16	1383602	1399442	5	674	2727	BAIAP3	1	.	0	.	1
7520	16	1399241	1401912	5	674	2727	TSR3	0	.	0	6790901	-1
7541	16	616995	634136	5	674	2726	PIGQ	0	.	0	162710	1
7545	16	1662326	1727909	5	674	2727	CRAMP1	0	.	0	.	1
7866	6	35441374	35464853	5	292	1252	TEAD3	1	.	0	2032785;8951671	-1
7908	1	169691782	169733846	5	45	183	SELE	1	.	0	202733	-1
7923	1	6694228	6761984	5	3	8	DNAJC11	1	.	0	8949613	-1
7933	1	171060018	171086959	5	46	185	FMO3	0	.	0	217271;5579019	1
7944	6	16129356	16148479	5	287	1226	MYLIP	0	.	0	983168;8866427	1
7952	23	100098313	100129334	5	839	3414	NOX1	0	.	0	5668599	-1
7968	1	23832922	23857712	5	8	30	E2F2	1	.	0	68689;69231;2559580;2559585	-1
8018	6	170844205	170862429	5	327	1405	PSMB1	0	.	0	68827;68949;69017;69229;69481;69601;174084;174113;174154;174178;174184;180534;180585;187577;195253;202424;211733;349425;350562;382556;450408;983168;1169091;1234176;1236974;1236978;2467813;2871837;4608870;4641257;4641258;5358346;5362768;5607761;5607764;5610780;5610783;5610785;5632684;5658442;5668541;5676590;5678895;5687128;5689603;5689880;6798695;8852276;8854050;8939236;8939902;8941858;8948751;8951664;9010553;9020702;9604323	-1
8056	23	47431297	47479342	5	824	3355	SYN1	0	.	0	181429;212676	-1
8083	6	15246527	15522271	5	287	1225	JARID2	1	.	0	212300	1
8086	23	18443703	18671749	5	816	3329	CDKL5	0	.	0	.	1
8118	1	209757062	209787283	5	54	235	CAMK1G	0	.	0	.	1
8128	1	1634169	1655763	5	1	4;5	CDK11A	0	.	0	380270	-1
8130	1	1682671	1711896	5	1	5	NADK	0	.	0	196807	-1
8196	6	50786436	50815326	5	295	1272	TFAP2B	0	.	0	3232118;8866904;8866907;8866910	1
8197	6	50681541	50740701	5	295	1272	TFAP2D	1	.	0	8866904;8866907	1
8226	3	38080696	38165516	5	137	598	DLEC1	1	.	0	.	1
8256	7	6201407	6312275	5	330	1415	CYTH3	0	.	0	6811438	-1
8277	7	87563458	87832204	5	351	1513;1514	ADAM22	0	.	0	5682910	1
8282	7	105730949	105753022	5	357	1531	SYPL1	0	.	0	.	-1
8283	17	61509665	61523739	5	716	2895	CYB561	0	.	0	.	-1
8294	17	49039535	49198226	5	712	2880	SPAG9	0	.	0	375170	-1
8300	3	48673902	48700348	5	141	613	CELSR3	0	.	0	.	-1
8311	7	121715701	121784334	5	361	1549;1550	AASS	0	.	0	71064	-1
8323	12	6419602	6437672	5	535	2249;2250	PLEKHG6	0	.	0	.	1
8324	3	42623332	42636606	5	138	604;605	SS18L2	1	.	0	.	1
8382	19	4343524	4360083	5	743	3019	MPND	0	.	0	.	1
8394	12	16500076	16762193	5	538	2264;2265	MGST1	1	.	0	156590;5423646;6798695	1
8405	12	107385142	107487607	5	564	2370;2371	CRY1	0	.	0	400253	-1
8438	19	46522411	46526323	5	757	3060	PGLYRP1	0	.	0	6798695;6803157	-1
8441	19	13106422	13209610	5	744	3028	NFIX	0	.	0	73980;749476	1
8513	8	134467091	134584183	5	409	1754;1755	ST3GAL1	0	.	0	977068;2022854;4085001	-1
8516	16	3096682	3110727	5	674	2729	MMP25	0	.	0	1592389;6798695	1
8517	16	3115298	3132193	5	674	2729	IL32	1	.	0	449836	1
8710	16	2138711	2185899	5	674	2727	PKD1	0	.	0	5620916	-1
8735	22	51039114	51052409	5	811	3245	MAPK8IP2	1	.	0	.	1
8838	17	38175350	38217468	5	708	2869	MED24	1	.	0	212436;381340;1989781	-1
8853	8	22844930	22877712	5	376	1626;1627	RHOBTB2	0	.	0	194840	1
8869	2	37195526	37311485	5	74	318	HEATR5B	0	.	0	.	-1
8952	3	169684423	169716161	5	179	756	SEC62	0	.	0	381038	1
8988	8	56979854	56987140	5	388	1663	RPS20	0	.	0	72649;72689;72695;72702;72706;72764;156827;156902;192823;975956;975957;1799339;2408557;6791226;9010553	-1
9307	1	115259534	115301297	5	30	140	CSDE1	1	.	0	.	-1
9335	7	156931607	157062066	5	371	1592	UBE3C	0	.	0	983168	1
9413	6	111620231	111804918	5	311	1335	REV3L	1	.	0	110312;5655862;5656121	-1
9694	23	123509753	124097666	5	844	3439	TENM1	0	.	0	.	-1
9709	1	18957500	19075360	5	7	22	PAX7	1	.	0	.	1
9724	1	11086580	11107290	5	5	13;14	MASP2	0	.	0	166662;166663;2855086	-1
9765	6	150690028	150727105	5	323	1379;1380	IYD	0	.	0	209968	1
9780	1	28052490	28089633	5	10	37	FAM76A	0	.	0	.	1
9790	1	209929377	209955665	5	54	235;236	TRAF3IP3	0	.	0	.	1
9830	14	77741299	77787227	5	631	2585	POMT2	0	.	0	5083629;5173105	-1
9844	6	142468299	142545826	5	320	1366;1367	VTA1	0	.	0	162588;917729	1
9950	7	73007524	73038873	5	349	1496	MLXIPL	0	.	0	163358;163680;163765;163767	-1
9954	7	72854728	72936608	5	349	1496	BAZ1B	1	.	0	5250924;5693565	-1
10017	6	13621730	13711796	5	286	1224;1225	RANBP9	0	.	0	373760;5673001;8851805	-1
10030	6	36321868	36355577	5	292	1252	ETV7	1	.	0	.	-1
10072	1	231472850	231490769	5	60	259	SPRTN	0	.	0	110320	1
10165	1	171750804	171783163	5	46	186	METTL13	0	.	0	.	1
10219	12	4671370	4724468	5	534	2248	DYRK4	0	.	0	.	1
10244	17	30677136	30708905	5	706	2860;2861	ZNF207	0	.	0	.	1
10256	3	48636435	48648409	5	141	613	UQCRC1	0	.	0	611105	-1
10270	7	38217824	38270272	5	339	1455	STARD3NL	0	.	0	196108	1
10278	12	6308881	6347437	5	535	2249	CD9	0	.	0	114608;1300652;5336415	1
10282	3	42734155	42744319	5	138	605	HHATL	0	.	0	.	-1
10292	12	6602522	6641121	5	535	2250	NCAPD2	0	.	0	2514853	1
10295	12	6647541	6665249	5	535	2250	IFFO1	0	.	0	.	-1
10310	19	46171502	46186982	5	757	3060	GIPR	0	.	0	418555;420092	1
10318	3	52444673	52457657	5	143	618	PHF7	0	.	0	.	1
10319	3	52467069	52479101	5	143	618	SEMA3G	1	.	0	.	-1
10322	3	52489134	52527087	5	143	618	NISCH	0	.	0	.	1
10327	3	52529354	52558511	5	143	618	STAB1	0	.	0	3000497	1
10361	19	50310126	50320633	5	758	3066	FUZ	0	.	0	5610787	-1
10379	12	329787	372039	5	533	2244	SLC6A13	0	.	0	442660;888593	-1
10404	23	148558521	148602635	5	851	3466;3467	IDS	0	.	0	2024096;2024101;2206296	-1
10438	9	33750464	33799229	5	422	1809	PRSS3	0	.	0	196741;1462054;6798695;6803157	1
10539	16	3272325	3286221	5	674	2729	ZNF200	0	.	0	212436	-1
10610	12	6896024	6929974	5	535	2250	CD4	1	.	0	167590;173107;180534;202424;202427;202430;202433;389948;449836;1462054;8856825;8856828	1
10626	12	6982733	7023407	5	535	2250;2251	LRRC23	0	.	0	.	1
10671	23	100604435	100645784	5	839	3414;3415	BTK	1	.	0	166058;983695;1236974;2029482;2424491;2871809;5602498;5603041;5663213	-1
10704	6	26087509	26098571	5	288	1237	HFE	0	.	0	917977	1
10803	1	41492872	41707826	5	14	50;51	SCMH1	1	.	0	2559580;3108214;3899300;4551638;4570464;4655427;8939243;8943724	-1
10810	6	111981535	112194655	5	311	1335;1336	FYN	1	.	0	75892;114604;164944;202733;210990;373753;375165;389356;389357;389359;389513;399954;399955;399956;418885;912631;983695;1227986;1257604;1433557;1433559;2029481;2219530;2424491;2682334;2730905;3928662;3928663;3928664;3928665;4420097;5621480;5621575;5673001;6811558;8866376;9032500;9032759	-1
10818	6	143072604	143277835	5	321	1367	HIVEP2	0	.	0	.	-1
10932	1	171217610	171255117	5	46	185	FMO1	0	.	0	217271	1
11007	1	24069645	24088549	5	9	30;31	ELOA	0	.	0	75955;112382;167152;167200;167238;167243;167246;167287;167290;674695;6796648	1
11009	1	24117460	24122029	5	9	31	LYPLA2	0	.	0	373760	1
11021	1	11866153	11903201	5	5	14	CLCN6	0	.	0	2672351;6802952	1
11028	17	60704762	60770958	5	715	2895	MRC2	0	.	0	1236978	1
11052	17	49230951	49249105	5	712	2880	NME1-NME2	0	.	0	.	1
11083	5	149569520	149602351	5	272	1166	SLC6A7	0	.	0	71288;442660	1
11105	12	3186521	3395730	5	533;534	2247	TSPAN9	0	.	0	.	1
11114	14	93703896	93799438	5	636	2605	BTBD7	0	.	0	.	-1
11132	19	3750817	3761697	5	743	3019	APBA3	0	.	0	6794361	-1
11143	17	56282798	56296966	5	713	2889	MKS1	0	.	0	5610787;5620912	-1
11198	3	43731605	43775863	5	139	606	ABHD5	0	.	0	163560	1
11201	23	8496915	8700227	5	814	3319;3320	ANOS1	0	.	0	190373;5654726	-1
11243	19	15490859	15529952	5	746	3031	AKAP8L	0	.	0	.	-1
11258	17	49254786	49337524	5	712	2880;2881	MBTD1	1	.	0	.	-1
11260	17	49337889	49375297	5	712	2880;2881	UTP18	0	.	0	6790901;6791226	1
11275	7	5659678	5821370	5	330	1414;1415	RNF216	0	.	0	936440	-1
11295	17	15902694	15948329	5	702	2842	TTC19	0	.	0	.	1
11304	19	797075	812327	5	743	3015	PTBP1	0	.	0	72163;72203;6803529	1
11332	19	38701646	38720354	5	755	3053	DPF1	1	.	0	.	-1
11347	11	61282785	61348620	5	512	2150	SYT7	0	.	0	6794361	-1
11376	3	45429998	45590913	5	141	608;609	LARS2	0	.	0	379726	1
11405	11	17099277	17229530	5	501	2098	PIK3C2A	1	.	0	432722;1660499;1660514;1660516;1660517;8856828	-1
11422	19	44150247	44174699	5	756	3058	PLAUR	1	.	0	75205;162791;6798695	-1
11426	7	36429415	36493400	5	338	1453;1454	ANLN	0	49	0	.	1
11451	19	15530791	15560762	5	746	3031	WIZ	0	.	0	.	-1
11454	9	125703112	125867145	5	448;449	1907	RABGAP1	0	.	0	8854214	1
11465	12	91534261	91576900	5	560	2353	DCN	1	.	0	1474228;1971475;2022870;2022923;2024101;3000178;3560783;3560801;3595172;3595174;3595177;4420332	-1
11478	19	46195741	46207247	5	757	3060	QPCTL	0	.	0	.	1
11485	19	46850251	46896238	5	757	3061	PPP5C	1	.	0	5675221;5693565;8939211	1
11523	2	65283500	65314138	5	81	353	CEP68	0	.	0	.	1
11566	2	39476407	39664453	5	75	321;322	MAP4K3	1	.	0	.	-1
11590	19	36195429	36207940	5	753	3050	ZBTB32	0	.	0	110314	1
11600	19	36395303	36399197	5	753	3050	TYROBP	0	.	0	198933;391160;416700;2172127;2424491;6798695	-1
11638	16	21169698	21191937	5	679	2754	TMEM159	0	.	0	.	1
11677	23	151334706	151619830	5	851	3469	GABRA3	0	.	0	112314;977441	-1
12048	17	41196312	41322262	5	710	2871	BRCA1	1	.	0	69473;912446;1221632;3108214;5685938;5685942;5689901;5693554;5693565;5693568;5693571;5693579;5693607;5693616;6796648;6804756;8953750	-1
12061	19	45910591	45982086	5	757	3059;3060	ERCC1	1	221;222;223	0	5685938;5696395;5696400;6782135;6783310	-1
12124	19	35810164	35838258	5	753	3050	CD22	1	.	0	198933;983695;5690714	1
12171	3	50304990	50314977	5	141	615	SEMA3B	1	.	0	.	1
12174	23	21857754	21903542	5	817;818	3331	MBTPS2	0	.	0	381033;1655829;8874211;8963889	1
12211	23	49031613	49042981	5	824	3358	PRICKLE3	0	.	0	.	-1
12223	3	46477136	46526724	5	141	609	LTF	0	.	0	977225;1222449;6798695;6799990;6803157	-1
