#chromosomeIndex	startPos	endPos	tadIndex	cytobandIndices
1	168040000	169840000	183	45
1	169785000	170960000	184	45;46
1	170880000	171450000	185	45;46
1	171400000	171975000	186	46
1	171935000	172480000	187	46
1	172400000	173400000	188	46;47
1	173360000	174240000	189	47
1	174200000	175000000	190	47
1	174960000	175325000	191	47
1	175260000	176840000	192	47;48
1	176680000	178040000	193	48
1	177960000	179840000	194	48
1	179760000	180480000	195	48;49
1	180435000	180850000	196	49
1	180810000	181200000	197	49
1	181160000	182050000	198	49
1	182000000	182400000	199	49
1	182360000	182840000	200	49
1	182800000	183640000	201	49
1	183560000	184025000	202	49
1	183925000	184765000	203	49
1	184720000	185715000	204	49
1	185640000	186390000	205	49;50
1	186320000	187015000	206	50
1	186960000	189160000	207	50
1	188885000	189880000	208	50
1	189720000	190480000	209	50
1	190400000	192440000	210	50;51
1	192400000	193120000	211	51
1	193080000	194440000	212	51;52
1	194320000	194960000	213	52
1	194880000	195280000	214	52
1	195240000	196080000	215	52
1	195960000	196760000	216	52
1	196680000	197940000	217	52
1	197880000	198700000	218	52
1	198640000	199615000	219	52;53
1	199560000	199960000	220	53
1	199810000	200565000	221	53
1	200520000	201440000	222	53
1	201360000	202160000	223	53
1	202110000	202720000	224	53
1	202660000	203015000	225	53
1	202960000	203225000	226	53
1	203185000	203450000	227	53
1	203410000	203840000	228	53
1	203785000	204100000	229	53
1	204060000	204540000	230	53
1	204480000	206360000	231	53
1	206310000	207215000	232	53;54
1	207160000	208000000	233	53;54
1	207925000	208480000	234	54
1	208425000	210000000	235	54
1	209920000	210560000	236	54
1	210500000	211465000	237	54
1	211400000	212200000	238	54;55
1	212160000	213240000	239	55
1	213200000	214840000	240	55;56
1	214800000	215840000	241	56
1	215800000	216920000	242	56
1	216840000	218440000	243	56
1	218400000	220320000	244	56
1	220240000	221000000	245	56
1	220935000	221640000	246	56
1	221560000	222880000	247	56
1	222825000	224080000	248	56
1	223880000	225600000	249	56;57;58
1	225560000	226600000	250	58
1	226520000	227200000	251	58;59
1	227120000	227680000	252	59
1	227610000	228280000	253	59
1	228200000	228760000	254	59
1	228720000	229400000	255	59
1	229360000	229690000	256	59
1	229640000	230760000	257	59;60
1	230680000	231450000	258	59;60
1	231400000	231800000	259	60
1	231760000	232775000	260	60
1	232720000	233450000	261	60
1	233400000	234540000	262	60
1	234460000	235320000	263	60;61
1	235275000	235720000	264	61
1	235675000	236240000	265	61
1	236160000	236760000	266	61;62
1	236710000	237840000	267	62
1	237760000	239600000	268	62
1	239280000	240240000	269	62
1	240160000	241690000	270	62
1	241635000	242120000	271	62
1	242040000	243280000	272	62
1	243200000	244760000	273	62;63
1	244680000	246200000	274	63
1	246160000	247080000	275	63
1	246960000	248925000	276	63
1	248885000	249250621	277	63
1	249210621	249250621	278	63
2	1	680000	279	64
2	640000	1880000	280	64
2	1825000	2600000	281	64
2	2480000	3765000	282	64
2	3720000	4960000	283	64;65
2	4880000	5800000	284	65
2	5480000	7025000	285	65
2	6960000	9280000	286	65;66
2	9160000	9625000	287	66
2	9560000	10240000	288	66
2	10200000	10880000	289	66
2	10840000	11315000	290	66
2	11240000	11825000	291	66
2	11760000	13200000	292	66;67
2	13160000	15320000	293	67
2	15240000	15760000	294	67
2	15720000	16800000	295	67;68
2	16720000	17920000	296	68
2	17875000	18560000	297	68
2	18510000	20160000	298	68;69
2	20080000	20560000	299	69
2	20510000	20890000	300	69
2	20840000	22560000	301	69
2	22480000	24040000	302	69;70
2	24000000	24320000	303	70
2	24280000	24625000	304	70
2	24560000	25450000	305	70
2	25400000	26440000	306	70
2	26360000	27680000	307	70
2	27600000	28800000	308	70;71
2	28720000	29425000	309	71
2	29385000	30360000	310	71;72
2	30320000	30960000	311	72
2	30910000	32800000	312	72;73
2	32720000	33880000	313	73
2	33835000	35160000	314	73
2	35040000	35960000	315	73
2	35720000	36600000	316	73
2	36550000	37080000	317	73;74
2	37000000	38165000	318	74
2	38120000	38560000	319	74
2	38485000	39120000	320	74;75
2	39040000	39550000	321	75
2	39480000	40040000	322	75
2	40000000	41040000	323	75
2	40960000	42080000	324	75;76
2	42040000	43040000	325	76
2	42960000	43920000	326	76
2	43840000	44615000	327	76
2	44560000	45240000	328	76
2	45200000	45840000	329	76
2	45800000	47200000	330	76
2	47150000	47640000	331	76
2	47600000	48040000	332	76;77
2	48000000	48325000	333	77
2	48285000	48840000	334	77
2	48785000	49800000	335	77
2	49720000	50760000	336	77
2	50710000	52240000	337	77
2	51960000	54025000	338	77;78
2	53960000	54965000	339	78
2	54910000	55920000	340	78;79
2	55860000	56375000	341	79
2	56280000	57000000	342	79
2	56960000	57840000	343	79
2	57800000	58975000	344	79
2	58760000	60965000	345	79
2	60920000	61290000	346	79
2	61240000	62125000	347	79;80
2	62080000	62680000	348	80
2	62635000	63080000	349	80
2	63000000	63800000	350	80
2	63760000	64125000	351	80;81
2	64080000	64800000	352	80;81
2	64760000	65480000	353	81
2	65435000	65840000	354	81
2	65800000	66690000	355	81
2	66610000	68360000	356	81
2	68280000	69215000	357	81;82
2	69160000	69640000	358	82
2	69560000	70125000	359	82
2	70080000	70560000	360	82
2	70485000	71280000	361	82
2	71225000	71790000	362	82;83
2	71710000	72400000	363	83
2	72360000	73100000	364	83
2	73060000	73490000	365	83
2	73440000	74880000	366	83;84
2	74835000	75925000	367	84;85
2	75880000	76920000	368	85
2	76840000	77800000	369	85
2	77640000	78280000	370	85
2	78120000	78760000	371	85
2	78560000	79240000	372	85
2	79200000	80240000	373	85
2	80160000	81880000	374	85
2	81440000	83560000	375	85;86
2	83480000	84720000	376	86
2	84650000	85190000	377	86
2	85120000	85850000	378	86
2	85800000	86440000	379	86
2	86385000	88200000	380	86
2	88080000	89640000	381	86
2	89585000	90360000	382	86
2	90280000	91760000	383	86;87
2	91680000	92400000	384	87
2	92320000	93300000	385	87
2	93300000	95360000	386	88
2	95285000	96480000	387	88
2	96400000	97200000	388	88;89
2	97160000	97880000	389	89
2	97800000	99240000	390	89
2	99160000	100160000	391	89
2	100080000	101200000	392	89
2	101135000	101680000	393	89
2	101600000	102540000	394	89
2	102480000	103440000	395	89;90
2	103385000	104600000	396	90
2	104520000	105960000	397	90
2	105880000	106175000	398	90;91
2	106135000	107200000	399	91
2	107160000	109440000	400	91;92
2	109360000	110165000	401	92
2	110120000	110600000	402	92;93
2	110520000	112615000	403	93
2	112560000	113880000	404	93
2	113800000	114240000	405	93
2	114200000	114760000	406	93;94
2	114710000	115390000	407	94
2	115320000	115960000	408	94
2	115900000	117240000	409	94
2	117040000	118575000	410	94
2	118520000	120120000	411	94;95
2	120040000	121075000	412	95
2	120960000	121450000	413	95
2	121400000	122160000	414	95
2	122085000	122565000	415	95;96
2	122520000	124800000	416	96
2	124720000	125600000	417	96
2	125520000	126480000	418	96
2	126400000	126990000	419	96
2	126910000	127840000	420	96
2	127800000	128520000	421	96
2	128280000	131240000	422	96;97
2	131160000	132940000	423	97;98
2	132880000	133960000	424	98
2	133910000	134680000	425	98
2	134600000	135720000	426	98;99
2	135675000	136625000	427	99
2	136560000	137160000	428	99;100
2	137120000	137625000	429	100
2	137575000	138600000	430	100
2	138560000	139640000	431	100
2	139600000	140550000	432	100
2	140440000	141000000	433	100
2	140800000	141720000	434	100
2	141640000	142960000	435	100;101
2	142900000	143440000	436	101
2	143400000	143800000	437	101
2	143760000	145240000	438	101;102
2	145120000	147480000	439	102
2	147435000	148680000	440	102
2	148640000	149360000	441	102;103
2	149280000	149890000	442	103
2	149840000	150450000	443	103;104
2	150400000	152300000	444	104;105
2	152240000	152915000	445	105
2	152840000	153600000	446	105
2	153560000	154480000	447	105
2	154400000	155280000	448	105;106
2	155200000	156240000	449	106
2	156200000	158165000	450	106
2	158120000	158920000	451	106
2	158875000	159720000	452	106
2	159680000	160900000	453	106;107
2	160840000	162080000	454	107
2	162000000	163240000	455	107
2	163160000	165560000	456	107;108
2	165480000	165865000	457	108
2	165800000	167360000	458	108
2	167280000	169080000	459	108
2	169000000	169880000	460	108;109
2	169800000	170775000	461	109
2	170640000	171800000	462	109
2	171760000	172400000	463	109
2	172360000	173040000	464	109
2	173000000	173640000	465	109
2	173600000	174225000	466	109
2	174120000	175340000	467	109
2	175280000	176000000	468	109
2	175880000	176975000	469	109
2	176920000	177640000	470	109
2	177520000	178065000	471	109;110
2	178000000	178960000	472	110
2	178880000	179400000	473	110
2	179320000	180280000	474	110
2	180240000	180720000	475	110;111
2	180640000	181960000	476	111
2	181910000	182615000	477	111
2	182560000	183040000	478	111;112
2	183000000	183600000	479	112
2	183560000	184080000	480	112
2	184000000	185560000	481	112
2	185440000	186160000	482	112
2	186080000	187720000	483	112
2	187640000	188360000	484	112
2	188320000	189440000	485	112;113
2	189375000	189960000	486	112;113
2	189910000	190560000	487	113
2	190480000	191175000	488	113
2	191110000	191940000	489	113;114
2	191880000	192440000	490	113;114
2	192400000	193120000	491	114
2	193040000	194565000	492	114
2	194480000	195320000	493	114
2	195240000	195800000	494	114
2	195720000	196240000	495	114
2	196160000	196960000	496	114
2	196920000	197650000	497	114;115
2	197600000	198640000	498	115
2	198560000	199175000	499	115
2	199120000	200800000	500	115
2	200760000	201760000	501	115
2	201685000	202100000	502	115
2	202050000	202640000	503	115
2	202550000	203400000	504	115;116
2	203320000	204200000	505	116
2	204080000	204800000	506	116
2	204760000	206920000	507	116;117
2	206840000	208600000	508	117
2	208520000	209200000	509	117;118
2	209160000	210200000	510	118
2	210125000	210880000	511	118
2	210800000	211160000	512	118
2	211080000	212025000	513	118
2	211920000	212615000	514	118
2	212535000	213520000	515	118
2	213480000	214100000	516	118
2	214040000	214760000	517	118
2	214640000	216215000	518	118;119
2	216160000	217000000	519	119
2	216935000	217400000	520	119
2	217320000	218650000	521	119
2	218610000	219120000	522	119
2	219040000	219880000	523	119
2	219810000	220480000	524	119
2	220400000	222890000	525	119;120
2	222840000	223520000	526	120
2	223480000	223800000	527	120
2	223760000	224840000	528	120
2	224785000	225200000	529	120
2	225160000	225640000	530	120;121
2	225560000	226525000	531	121;122
2	226480000	228240000	532	122
2	228160000	228750000	533	122
2	228680000	229550000	534	122
2	229480000	230640000	535	122
2	230600000	231920000	536	122;123
2	231800000	232475000	537	123
2	232360000	233400000	538	123
2	233360000	234800000	539	123
2	234710000	235450000	540	123
2	235400000	236065000	541	123;124
2	236000000	236715000	542	124
2	236640000	237150000	543	124
2	237080000	238040000	544	124;125
2	238000000	238720000	545	125
2	238640000	239225000	546	125
2	239160000	239940000	547	125
2	239840000	241150000	548	125
2	241080000	241520000	549	125
2	241450000	241800000	550	125
2	241735000	243199373	551	125
2	243159373	243199373	552	125
3	1	90000	553	126
3	40000	425000	554	126
3	385000	2160000	555	126
3	2120000	3200000	556	126;127
3	3160000	4160000	557	127;128
3	4080000	4360000	558	128
3	4320000	4715000	559	128
3	4640000	5290000	560	128
3	5240000	6960000	561	128
3	6880000	8480000	562	128
3	8435000	9000000	563	128;129
3	8920000	9440000	564	129
3	9360000	10375000	565	129
3	10320000	11400000	566	129
3	11160000	11960000	567	129;130
3	11880000	12920000	568	130
3	12840000	13565000	569	130;131
3	13480000	14720000	570	131
3	14650000	15160000	571	131
3	15120000	15625000	572	131
3	15520000	16325000	573	131
3	16280000	17320000	574	131;132
3	17240000	17960000	575	132
3	17885000	18540000	576	132
3	18480000	19080000	577	132
3	19035000	19960000	578	132
3	19880000	21040000	579	132
3	21000000	22240000	580	132
3	22160000	23040000	581	132
3	22960000	24000000	582	132;133
3	23960000	24440000	583	133
3	24320000	24765000	584	133
3	24720000	25715000	585	133
3	25640000	27200000	586	133;134
3	27120000	27760000	587	134
3	27710000	28440000	588	134
3	28400000	30080000	589	134
3	30010000	30840000	590	134
3	30800000	32790000	591	134;135;136
3	32680000	33480000	592	136
3	33400000	33920000	593	136
3	33880000	36040000	594	136
3	35960000	37000000	595	136;137
3	36920000	37325000	596	137
3	37280000	38080000	597	137
3	38000000	38565000	598	137
3	38510000	39120000	599	137
3	39060000	39480000	600	137;138
3	39440000	40280000	601	138
3	40200000	41960000	602	138
3	41885000	42280000	603	138
3	42235000	42680000	604	138
3	42600000	43575000	605	138
3	43520000	44400000	606	138;139;140;141
3	44320000	45040000	607	141
3	45000000	45725000	608	141
3	45510000	46960000	609	141
3	46840000	47465000	610	141
3	47400000	47880000	611	141
3	47835000	48240000	612	141
3	48200000	49160000	613	141
3	49025000	49760000	614	141
3	49680000	50400000	615	141
3	50360000	51465000	616	141;142
3	51385000	52000000	617	142
3	51960000	53160000	618	142;143
3	53080000	53960000	619	143
3	53910000	54825000	620	143;144
3	54680000	55520000	621	144
3	55460000	56600000	622	144
3	56560000	57115000	623	144
3	57035000	57560000	624	144
3	57510000	58560000	625	144
3	58480000	59560000	626	144;145
3	59510000	59920000	627	145
3	59840000	60560000	628	145
3	60400000	61440000	629	145
3	61360000	62600000	630	145
3	62520000	63290000	631	145
3	63240000	63880000	632	145;146
3	63840000	64500000	633	146
3	64440000	65440000	634	146
3	65385000	65760000	635	146
3	65710000	66320000	636	146
3	66280000	66965000	637	146
3	66920000	67840000	638	146
3	67800000	69040000	639	146
3	69000000	69725000	640	146
3	69685000	70080000	641	146;147
3	70035000	70520000	642	147
3	70440000	71000000	643	147
3	70960000	71760000	644	147
3	71720000	73160000	645	147
3	73120000	73960000	646	147
3	73885000	75720000	647	147;148
3	75640000	76760000	648	148
3	76640000	77365000	649	148
3	77320000	78720000	650	148
3	78660000	79120000	651	148
3	79080000	79575000	652	148
3	79520000	81350000	653	148;149
3	81240000	82680000	654	149
3	82240000	83240000	655	149
3	83160000	83680000	656	149;150
3	83600000	85720000	657	150
3	85640000	86760000	658	150
3	86700000	87315000	659	150;151
3	87210000	88240000	660	151;152
3	88200000	88680000	661	152
3	88560000	89160000	662	152
3	89000000	90560000	663	152
3	90520000	91000000	664	152
3	91000000	93520000	665	153
3	93480000	95360000	666	153;154
3	95160000	96080000	667	154
3	96000000	96590000	668	154
3	96520000	97480000	669	154
3	97435000	97800000	670	154
3	97720000	98565000	671	154;155
3	98485000	99520000	672	155
3	99480000	100025000	673	155;156
3	99960000	100520000	674	155;156
3	100440000	101440000	675	156;157
3	101400000	101990000	676	157
3	101920000	102350000	677	157
3	102280000	103880000	678	157;158
3	103760000	105290000	679	158
3	105240000	106920000	680	158;159
3	106880000	107280000	681	159
3	107210000	107625000	682	159
3	107520000	108400000	683	159;160
3	108320000	110120000	684	160
3	110000000	111360000	685	160;161
3	111280000	111800000	686	160;161
3	111760000	112315000	687	161
3	112240000	112765000	688	161
3	112720000	113840000	689	161;162
3	113760000	114925000	690	162
3	114880000	115600000	691	162
3	115560000	116480000	692	162
3	116435000	117320000	693	162;163
3	117240000	117775000	694	162;163
3	117640000	118880000	695	163
3	118800000	119520000	696	163;164
3	119440000	120280000	697	164
3	120200000	120640000	698	164
3	120560000	121240000	699	164
3	121200000	122140000	700	164;165
3	122080000	123320000	701	165
3	123260000	124450000	702	165;166
3	124400000	125520000	703	166
3	125440000	126240000	704	166;167
3	126160000	127320000	705	167
3	127275000	127815000	706	167
3	127760000	128640000	707	167
3	128560000	129120000	708	167
3	129040000	129840000	709	167;168
3	129800000	130725000	710	168
3	130625000	132440000	711	168
3	132375000	133160000	712	168
3	133110000	133525000	713	168
3	133360000	134280000	714	168;169
3	134240000	135800000	715	169;170
3	135735000	136800000	716	170
3	136760000	137880000	717	170
3	137800000	138760000	718	170;171
3	138680000	139115000	719	170;171
3	139040000	140665000	720	171
3	140600000	141000000	721	171
3	140950000	142080000	722	171
3	142000000	142765000	723	171
3	142720000	143500000	724	171;172
3	143440000	144560000	725	172
3	144480000	145765000	726	172
3	145640000	146400000	727	172
3	146335000	147015000	728	172
3	146960000	147920000	729	172
3	147840000	148680000	730	172
3	148640000	149050000	731	172;173
3	149000000	149600000	732	173
3	149550000	149965000	733	173
3	149920000	150320000	734	173
3	150240000	150920000	735	173
3	150875000	151700000	736	173
3	151640000	152720000	737	173;174
3	152640000	154040000	738	174
3	154000000	155080000	739	174;175
3	155040000	155640000	740	175
3	155560000	156280000	741	175
3	156210000	157240000	742	175;176
3	157160000	158560000	743	176
3	158485000	159040000	744	176;177
3	158975000	159720000	745	176;177
3	159550000	160240000	746	177
3	160160000	161200000	747	177;178
3	161160000	162840000	748	178
3	162760000	163520000	749	178
3	163400000	164965000	750	178
3	164920000	165575000	751	178
3	165480000	167120000	752	178
3	167040000	167680000	753	178;179
3	167600000	168615000	754	179
3	168560000	169560000	755	179
3	169480000	170600000	756	179
3	170560000	171360000	757	179;180
3	171310000	172520000	758	180
3	172475000	173920000	759	180
3	173760000	174960000	760	180
3	174840000	176240000	761	180;181
3	176160000	178200000	762	181
3	178125000	178760000	763	181
3	178700000	179365000	764	181;182
3	179320000	180400000	765	182
3	180320000	181440000	766	182
3	181375000	182560000	767	182
3	182440000	183165000	768	182;183
3	183120000	183600000	769	183
3	183560000	184090000	770	183
3	184040000	184575000	771	183;184
3	184520000	185340000	772	184
3	185280000	186000000	773	184
3	185935000	186590000	774	184;185
3	186520000	187450000	775	185
3	187400000	188960000	776	185;186
3	188920000	189715000	777	186
3	189640000	190320000	778	186
3	190120000	191125000	779	186
3	191085000	192200000	780	186
3	192160000	192520000	781	186;187
3	192480000	193365000	782	187
3	193320000	194360000	783	187
3	194310000	195000000	784	187
3	194960000	195400000	785	187
3	195360000	196720000	786	187
3	196660000	196950000	787	187
3	196910000	198022430	788	187
3	197982430	198022430	789	187
4	1	720000	790	188
4	650000	1040000	791	188
4	1000000	1400000	792	188
4	1360000	1760000	793	188
4	1680000	3080000	794	188
4	3000000	3560000	795	188
4	3510000	3975000	796	188
4	3920000	6680000	797	188;189;190
4	6560000	7120000	798	190
4	7040000	7750000	799	190
4	7710000	8240000	800	190
4	8185000	9400000	801	190
4	9320000	10560000	802	190
4	10510000	11800000	803	190;191
4	11720000	12725000	804	191
4	12680000	13640000	805	191
4	13585000	15520000	806	191;192
4	15440000	17525000	807	192
4	17480000	18650000	808	192;193
4	18600000	20760000	809	193
4	20720000	21800000	810	193;194
4	21720000	22400000	811	194
4	22360000	22840000	812	194
4	22760000	23760000	813	194
4	23720000	24490000	814	194
4	24440000	25440000	815	194
4	25400000	26490000	816	194
4	26410000	27090000	817	194
4	27040000	29120000	818	194;195
4	29000000	29480000	819	195
4	29360000	29880000	820	195
4	29800000	30680000	821	195
4	30600000	31280000	822	195
4	31040000	31800000	823	195
4	31720000	32440000	824	195
4	32320000	33120000	825	195
4	33040000	34280000	826	195
4	34160000	34920000	827	195
4	34760000	36320000	828	195;196
4	36160000	37465000	829	196
4	37400000	37800000	830	196
4	37760000	38080000	831	196
4	38010000	38920000	832	196
4	38875000	39480000	833	196
4	39400000	40040000	834	196
4	40000000	40365000	835	196
4	40320000	40800000	836	196
4	40720000	41280000	837	196;197
4	41235000	41680000	838	197
4	41635000	42000000	839	197
4	41920000	42960000	840	197
4	42880000	44750000	841	197;198
4	44680000	46325000	842	198
4	46280000	46850000	843	198
4	46760000	47680000	844	198
4	47600000	48140000	845	198
4	48060000	49680000	846	198;199
4	49600000	50400000	847	199
4	50400000	52680000	848	200
4	52640000	53890000	849	200;201
4	53835000	55200000	850	201
4	55150000	55850000	851	201
4	55800000	56240000	852	201
4	56200000	56800000	853	201
4	56750000	57360000	854	201
4	57250000	57890000	855	201
4	57840000	59400000	856	201
4	59320000	60050000	857	201;202
4	59920000	61160000	858	202
4	61080000	63675000	859	202
4	63600000	64320000	860	202
4	64240000	65560000	861	202
4	65480000	67080000	862	202;203
4	66960000	68320000	863	203
4	68280000	69115000	864	203
4	69040000	70200000	865	203
4	70110000	70565000	866	203;204
4	70500000	71440000	867	204
4	71400000	71960000	868	204
4	71880000	72680000	869	204
4	72600000	73925000	870	204
4	73880000	75065000	871	204
4	75000000	75665000	872	204
4	75600000	76840000	873	204;205
4	76760000	78840000	874	205
4	78760000	79525000	875	205;206
4	79450000	79880000	876	206
4	79840000	81280000	877	206
4	81235000	82320000	878	206
4	82280000	83300000	879	206;207
4	83240000	83790000	880	207
4	83720000	84415000	881	207;208
4	84360000	85960000	882	208
4	85900000	86680000	883	208
4	86640000	87400000	884	208;209
4	87335000	87840000	885	209
4	87785000	88240000	886	209;210
4	88160000	89160000	887	210
4	89120000	89490000	888	210
4	89440000	90080000	889	210
4	90040000	91240000	890	210
4	91185000	92040000	891	210
4	91960000	93400000	892	210
4	93320000	95160000	893	210;211;212
4	95080000	96080000	894	211;212
4	96035000	97360000	895	212
4	97280000	99040000	896	212;213
4	99000000	100000000	897	213
4	99960000	100480000	898	213
4	100435000	100920000	899	213
4	100880000	103325000	900	213;214
4	103280000	104100000	901	214
4	104040000	104920000	902	214
4	104875000	105920000	903	214
4	105800000	106480000	904	214
4	106400000	107175000	905	214
4	107120000	107920000	906	214;215
4	107840000	108880000	907	215
4	108810000	109560000	908	215
4	109520000	110360000	909	215
4	110285000	110920000	910	215
4	110880000	111500000	911	215
4	111440000	111940000	912	215
4	111880000	112590000	913	215
4	112520000	113000000	914	215
4	112960000	113600000	915	215
4	113520000	115340000	916	215;216
4	115280000	115715000	917	216
4	115640000	117080000	918	216
4	116960000	118040000	919	216
4	117960000	119560000	920	216
4	119480000	119900000	921	216
4	119860000	120440000	922	216
4	120360000	121000000	923	216;217
4	120960000	122720000	924	217
4	122680000	123240000	925	217
4	123160000	123915000	926	217;218
4	123835000	124640000	927	218
4	124600000	125240000	928	218
4	125200000	126240000	929	218
4	126200000	126760000	930	218
4	126680000	127525000	931	218
4	127480000	129000000	932	218;219
4	128920000	130080000	933	219
4	129800000	132040000	934	219;220
4	131960000	132600000	935	220
4	132360000	134000000	936	220
4	133840000	135480000	937	220
4	135320000	135920000	938	220
4	135840000	137960000	939	220
4	137880000	138680000	940	220
4	138600000	139000000	941	220
4	138920000	139920000	942	220;221
4	139880000	140475000	943	221
4	140360000	141840000	944	221;222
4	141760000	143040000	945	222
4	142960000	144120000	946	222
4	144060000	144520000	947	222
4	144440000	146040000	948	222
4	146000000	146600000	949	222
4	146520000	148080000	950	222;223
4	148025000	148840000	951	223;224
4	148760000	149520000	952	224
4	149400000	150250000	953	224
4	150200000	150880000	954	224
4	150840000	152000000	955	224;225
4	151935000	152600000	956	225
4	152560000	153360000	957	225
4	153310000	153760000	958	225
4	153710000	154080000	959	225
4	154000000	154720000	960	225
4	154680000	155480000	961	225
4	155400000	156320000	962	225;226
4	156275000	156760000	963	226
