ENST00000450305	DDX11L1
ENST00000579887	MIR4417
ENST00000401226	AL356693.1
ENST00000582517	MIR4689
ENST00000378156	NPHP4
ENST00000622020	NPHP4
ENST00000585151	AL356261.1
ENST00000378111	KCNAB2
ENST00000378097	KCNAB2
ENST00000378092	KCNAB2
ENST00000352527	KCNAB2
ENST00000341524	KCNAB2
ENST00000602612	KCNAB2
ENST00000164247	KCNAB2
ENST00000378083	KCNAB2
ENST00000458166	KCNAB2
ENST00000594544	AL035406.1
ENST00000262450	CHD5
ENST00000484532	RPL22
ENST00000234875	RPL22
ENST00000497965	RPL22
ENST00000377939	RNF207
ENST00000343813	ICMT
ENST00000441724	LINC00337
ENST00000429480	LINC00337
ENST00000377898	HES3
ENST00000377893	GPR153
ENST00000608083	ACOT7
ENST00000377842	ACOT7
ENST00000377845	ACOT7
ENST00000377855	ACOT7
ENST00000545482	ACOT7
ENST00000361521	ACOT7
ENST00000377837	HES2
ENST00000377836	HES2
ENST00000377834	HES2
ENST00000487437	HES2
ENST00000489730	HES2
ENST00000636330	ESPN
ENST00000377828	ESPN
ENST00000416731	ESPN
ENST00000461727	ESPN
ENST00000585139	MIR4252
ENST00000377782	TNFRSF25
ENST00000356876	TNFRSF25
ENST00000351959	TNFRSF25
ENST00000351748	TNFRSF25
ENST00000348333	TNFRSF25
ENST00000535355	PLEKHG5
ENST00000400913	PLEKHG5
ENST00000340850	PLEKHG5
ENST00000537245	PLEKHG5
ENST00000377748	PLEKHG5
ENST00000377725	PLEKHG5
ENST00000377728	PLEKHG5
ENST00000377732	PLEKHG5
ENST00000400915	PLEKHG5
ENST00000377740	PLEKHG5
ENST00000377705	NOL9
ENST00000456162	AL591866.1
ENST00000333172	TAS1R1
ENST00000351136	TAS1R1
ENST00000377674	ZBTB48
ENST00000377658	KLHL21
ENST00000377663	KLHL21
ENST00000467612	KLHL21
ENST00000610898	KLHL21
ENST00000463043	KLHL21
ENST00000377648	PHF13
ENST00000054650	THAP3
ENST00000307896	THAP3
ENST00000377627	THAP3
ENST00000377577	DNAJC11
ENST00000294401	DNAJC11
ENST00000432429	LINC01672
ENST00000635092	LINC01672
ENST00000641757	AL591163.1
ENST00000303635	CAMTA1
ENST00000473578	CAMTA1
ENST00000557126	CAMTA1
ENST00000467404	CAMTA1
ENST00000476864	CAMTA1
ENST00000433407	AL590128.1
ENST00000602640	AL359881.3
ENST00000602973	AL359881.2
ENST00000602916	AL359881.1
ENST00000054666	VAMP3
ENST00000470357	VAMP3
ENST00000377541	PER3
ENST00000613533	PER3
ENST00000614998	PER3
ENST00000377532	PER3
ENST00000361923	PER3
ENST00000377516	UTS2
ENST00000361696	UTS2
ENST00000054668	UTS2
ENST00000615230	TNFRSF9
ENST00000377507	TNFRSF9
ENST00000603760	AL009183.1
ENST00000338639	PARK7
ENST00000493678	PARK7
ENST00000377493	PARK7
ENST00000377491	PARK7
ENST00000377488	PARK7
ENST00000641100	AL034417.3
ENST00000474874	ERRFI1
ENST00000377482	ERRFI1
ENST00000467067	ERRFI1
ENST00000469499	ERRFI1
ENST00000445300	AL034417.2
ENST00000399343	AL034417.1
ENST00000453364	AL358876.1
ENST00000635451	LINC01714
ENST00000424689	AL358876.2
ENST00000471889	SLC45A1
ENST00000289877	SLC45A1
ENST00000337907	RERE
ENST00000377464	RERE
ENST00000400907	RERE
ENST00000476556	RERE
ENST00000400908	RERE
ENST00000605785	AL096855.2
ENST00000437586	RPL7P11
ENST00000428803	RPL7P7
ENST00000445254	AL357552.1
ENST00000433876	AL357552.2
ENST00000436229	RPL23AP19
ENST00000234590	ENO1
ENST00000425872	HMGN2P17
ENST00000424862	AL139415.1
ENST00000431968	AL139415.2
ENST00000480186	CA6
ENST00000377443	CA6
ENST00000377436	CA6
ENST00000377442	CA6
ENST00000400906	SLC2A7
ENST00000377424	SLC2A5
ENST00000377414	SLC2A5
ENST00000377411	GPR157
ENST00000635687	MIR34AHG
ENST00000385130	MIR34A
ENST00000635271	LINC01759
ENST00000412639	LINC01759
ENST00000632503	Z98044.1
ENST00000377403	H6PD
ENST00000602477	H6PD
ENST00000517032	Z98044.1
ENST00000328089	SPSB1
ENST00000357898	SPSB1
ENST00000377399	SPSB1
ENST00000641006	BX323043.1
ENST00000641325	AL928921.2
ENST00000441033	AL928921.1
ENST00000302692	SLC25A33
ENST00000435277	AL954705.1
ENST00000340305	TMEM201
ENST00000340381	TMEM201
ENST00000536656	PIK3CD
ENST00000628140	PIK3CD
ENST00000377346	PIK3CD
ENST00000543390	PIK3CD
ENST00000361110	PIK3CD
ENST00000426570	AL691449.1
ENST00000377298	CLSTN1
ENST00000361311	CLSTN1
ENST00000603781	MZT1P1
ENST00000377263	CTNNBIP1
ENST00000400904	CTNNBIP1
ENST00000377258	CTNNBIP1
ENST00000377256	CTNNBIP1
ENST00000377223	LZIC
ENST00000400903	LZIC
ENST00000377213	LZIC
ENST00000403197	NMNAT1
ENST00000377205	NMNAT1
ENST00000578045	MIR5697
ENST00000294435	RBP7
ENST00000253251	UBE4B
ENST00000377153	UBE4B
ENST00000343090	UBE4B
ENST00000456484	AL590639.1
ENST00000416729	PGAM1P11
ENST00000377093	KIF1B
ENST00000263934	KIF1B
ENST00000377086	KIF1B
ENST00000377083	KIF1B
ENST00000377081	KIF1B
ENST00000620295	KIF1B
ENST00000622724	KIF1B
ENST00000577266	MIR1273D
ENST00000641619	AL139424.3
ENST00000641117	AL139424.3
ENST00000641335	AL139424.2
ENST00000270776	PGD
ENST00000400900	CENPS-CORT
ENST00000470413	CENPS-CORT
ENST00000602787	CENPS-CORT
ENST00000602296	CENPS-CORT
ENST00000465026	CENPS-CORT
ENST00000309048	CENPS
ENST00000462462	CENPS
ENST00000377049	CORT
ENST00000377038	DFFA
ENST00000377036	DFFA
ENST00000356607	PEX14
ENST00000377022	CASZ1
ENST00000344008	CASZ1
ENST00000450782	HSPE1P24
ENST00000377004	C1orf127
ENST00000400899	CFL1P6
ENST00000582090	AL713997.1
ENST00000240185	TARDBP
ENST00000639083	TARDBP
ENST00000629725	TARDBP
ENST00000315091	TARDBP
ENST00000638264	TARDBP
ENST00000621790	TARDBP
ENST00000616545	TARDBP
ENST00000614757	AL109811.4
ENST00000400897	MASP2
ENST00000400898	MASP2
ENST00000376957	SRM
ENST00000304457	EXOSC10
ENST00000376936	EXOSC10
ENST00000376838	MTOR
ENST00000361445	MTOR
ENST00000376819	ANGPTL7
ENST00000448289	RPL39P6
ENST00000376810	UBIAD1
ENST00000376804	UBIAD1
ENST00000433562	UBE2V2P3
ENST00000641979	AL031291.1
ENST00000435243	MTCYBP45
ENST00000294484	DISP3
ENST00000304391	DISP3
ENST00000453135	LINC01647
ENST00000354287	FBXO2
ENST00000251546	FBXO44
ENST00000376770	FBXO44
ENST00000376768	FBXO44
ENST00000251547	FBXO44
ENST00000376760	FBXO44
ENST00000376762	FBXO44
ENST00000376753	FBXO6
ENST00000235310	MAD2L2
ENST00000376692	MAD2L2
ENST00000376672	MAD2L2
ENST00000376669	MAD2L2
ENST00000376667	MAD2L2
ENST00000294485	DRAXIN
ENST00000376637	AGTRAP
ENST00000400895	AGTRAP
ENST00000376629	AGTRAP
ENST00000376627	AGTRAP
ENST00000314340	AGTRAP
ENST00000452018	AGTRAP
ENST00000510878	AGTRAP
ENST00000433342	C1orf167
ENST00000376592	MTHFR
ENST00000376583	MTHFR
ENST00000376585	MTHFR
ENST00000376590	MTHFR
ENST00000641407	MTHFR
ENST00000641820	MTHFR
ENST00000312413	CLCN6
ENST00000346436	CLCN6
ENST00000376497	CLCN6
ENST00000376496	CLCN6
ENST00000376480	NPPA
ENST00000610706	NPPA
ENST00000376476	NPPA
ENST00000376468	NPPB
ENST00000438808	AL021155.1
ENST00000376572	KIAA2013
ENST00000616327	KIAA2013
ENST00000376576	KIAA2013
ENST00000196061	PLOD1
ENST00000444836	MFN2
ENST00000235329	MFN2
ENST00000603287	AL096840.1
ENST00000235332	MIIP
ENST00000417814	TNFRSF8
ENST00000263932	TNFRSF8
ENST00000413146	TNFRSF8
ENST00000439324	RPL23AP89
ENST00000536782	TNFRSF1B
ENST00000376259	TNFRSF1B
ENST00000584158	MIR4632
ENST00000453852	RPL10P17
ENST00000620676	VPS13D
ENST00000613099	VPS13D
ENST00000543766	VPS13D
ENST00000416696	AC243836.1
ENST00000616661	DHRS3
ENST00000606790	AC254633.1
ENST00000376221	AADACL4
ENST00000436879	AC244670.1
ENST00000359318	AADACL3
ENST00000614859	C1orf158
ENST00000376210	C1orf158
ENST00000357726	PRAMEF12
ENST00000332296	PRAMEF1
ENST00000438401	LINC01784
ENST00000535591	PRAMEF11
ENST00000438176	PRAMEF30P
ENST00000317869	HNRNPCL1
ENST00000240189	PRAMEF2
ENST00000235349	PRAMEF4
ENST00000235347	PRAMEF10
ENST00000616979	PRAMEF7
ENST00000330881	PRAMEF7
ENST00000418187	PRAMEF29P
ENST00000415464	PRAMEF6
ENST00000376189	PRAMEF6
ENST00000376187	PRAMEF22
ENST00000436041	WI2-3308P17.2
ENST00000437631	RP13-221M14.2
ENST00000611860	PRAMEF34P
ENST00000458709	PRAMEF35P
ENST00000621994	HNRNPCL2
ENST00000323770	HNRNPCL4
ENST00000423177	PRAMEF26
ENST00000353410	PRAMEF3
ENST00000376173	PRAMEF3
ENST00000376168	PRAMEF5
ENST00000431596	PRAMEF32P
ENST00000357367	PRAMEF8
ENST00000376152	PRAMEF9
ENST00000432559	RP11-219C24.10
ENST00000638454	PRAMEF13
ENST00000625019	PRAMEF13
ENST00000610289	PRAMEF28P
ENST00000376126	PRAMEF18
ENST00000376121	PRAMEF16
ENST00000332192	PRAMEF21
ENST00000327795	PRAMEF21
ENST00000330087	PRAMEF15
ENST00000334600	PRAMEF14
ENST00000376101	PRAMEF19
ENST00000376098	PRAMEF17
ENST00000316412	PRAMEF20
ENST00000602960	PRAMEF20
ENST00000376085	LRRC38
ENST00000401091	BRWD1P1
ENST00000294489	PDPN
ENST00000617617	PDPN
ENST00000376057	PDPN
ENST00000621990	PDPN
ENST00000510906	PDPN
ENST00000509009	PDPN
ENST00000376061	PDPN
ENST00000513143	PDPN
ENST00000487038	PDPN
ENST00000475043	PDPN
ENST00000577470	AL359771.1
ENST00000441809	AL359771.1
ENST00000376048	PRDM2
ENST00000311066	PRDM2
ENST00000235372	PRDM2
ENST00000413440	PRDM2
ENST00000343137	PRDM2
ENST00000503842	PRDM2
ENST00000505823	PRDM2
ENST00000636564	KAZN
ENST00000636203	KAZN
ENST00000376030	KAZN
ENST00000503743	KAZN
ENST00000361144	KAZN
ENST00000400798	KAZN
ENST00000400797	KAZN
ENST00000449215	AL357873.1
ENST00000447908	AL359873.1
ENST00000416175	TBCAP2
ENST00000428417	TMEM51
ENST00000376014	TMEM51
ENST00000400796	TMEM51
ENST00000434578	TMEM51
ENST00000376008	TMEM51
ENST00000424792	C1orf195
ENST00000625027	C1orf195
ENST00000400795	AL035405.1
ENST00000612442	AL391094.1
ENST00000358897	FHAD1
ENST00000375998	FHAD1
ENST00000375997	FHAD1
ENST00000375995	FHAD1
ENST00000427824	AL031283.1
ENST00000375980	EFHD2
ENST00000375949	CTRC
ENST00000375943	CTRC
ENST00000359621	CELA2A
ENST00000375910	CELA2B
ENST00000546424	CASP9
ENST00000333868	CASP9
ENST00000348549	CASP9
ENST00000375890	CASP9
ENST00000375838	DNAJC16
ENST00000616884	DNAJC16
ENST00000375847	DNAJC16
ENST00000375849	DNAJC16
ENST00000375826	AGMAT
ENST00000454346	CHCHD2P6
ENST00000422383	CD24P1
ENST00000480945	DDI2
ENST00000345034	RSC1A1
ENST00000606262	AL121992.2
ENST00000375799	PLEKHM2
ENST00000375793	PLEKHM2
ENST00000584345	AL121992.1
ENST00000294454	SLC25A34
ENST00000375782	TMEM82
ENST00000375771	FBLIM1
ENST00000375766	FBLIM1
ENST00000441801	FBLIM1
ENST00000332305	FBLIM1
ENST00000431782	RPL12P14
ENST00000483273	UQCRHL
ENST00000321418	AL450998.1
ENST00000375759	SPEN
ENST00000604816	AL034555.1
ENST00000375743	ZBTB17
ENST00000537142	ZBTB17
ENST00000375733	ZBTB17
ENST00000416882	AL355994.4
ENST00000424379	AL355994.1
ENST00000613591	AL355994.5
ENST00000505954	TBC1D3P6
ENST00000329454	C1orf64
ENST00000411503	HSPB7
ENST00000311890	HSPB7
ENST00000375718	HSPB7
ENST00000487046	HSPB7
ENST00000406363	HSPB7
ENST00000375692	CLCNKA
ENST00000439316	CLCNKA
ENST00000331433	CLCNKA
ENST00000447882	AL355994.2
ENST00000619181	CLCNKB
ENST00000375679	CLCNKB
ENST00000375667	CLCNKB
ENST00000375662	FAM131C
ENST00000358432	EPHA2
ENST00000270747	ARHGEF19
ENST00000602586	ANO7L1
ENST00000375605	C1orf134
ENST00000375599	RSG1
ENST00000421314	MT1XP1
ENST00000375592	FBXO42
ENST00000401088	SZRD1
ENST00000471507	SZRD1
ENST00000401089	SZRD1
ENST00000492354	SZRD1
ENST00000445689	AL358794.1
ENST00000335496	SPATA21
ENST00000540400	SPATA21
ENST00000375577	SPATA21
ENST00000612240	SPATA21
ENST00000337132	NECAP2
ENST00000504551	NECAP2
ENST00000457722	NECAP2
ENST00000443980	NECAP2
ENST00000457898	LINC01772
ENST00000420820	CROCCP3
ENST00000562878	AL137802.2
ENST00000452795	AL137802.1
ENST00000601199	AL355149.2
ENST00000438396	AL355149.1
ENST00000577341	AL355149.1
ENST00000430580	NBPF1
ENST00000432949	NBPF1
ENST00000607700	AL137798.1
ENST00000412962	CROCCP2
ENST00000639399	AL137798.3
ENST00000457982	MST1P2
ENST00000633763	AL137798.2
ENST00000434336	AL137798.1
ENST00000584111	AL021920.1
ENST00000419267	EIF1AXP1
ENST00000270691	ESPNP
ENST00000624517	AL021920.1
ENST00000600179	AL021920.2
ENST00000633433	AL021920.3
ENST00000375541	CROCC
ENST00000457096	CROCCP4
ENST00000455405	MST1L
ENST00000442552	MST1L
ENST00000545160	MST1L
ENST00000422345	BX284668.1
ENST00000414128	BX284668.3
ENST00000583661	MIR3675
ENST00000422124	BX284668.5
ENST00000453917	BX284668.4
ENST00000606899	BX284668.6
ENST00000375534	MFAP2
ENST00000375535	MFAP2
ENST00000326735	ATP13A2
ENST00000341676	ATP13A2
ENST00000452699	ATP13A2
ENST00000617114	ATP13A2
ENST00000375499	SDHB
ENST00000375486	PADI2
ENST00000375481	PADI2
ENST00000412427	AL590644.1
ENST00000634972	AL590644.1
ENST00000635428	AL590644.3
ENST00000375471	PADI1
ENST00000375460	PADI3
ENST00000582732	MIR3972
ENST00000375453	PADI4
ENST00000375448	PADI4
ENST00000602074	AC004824.2
ENST00000619609	PADI6
ENST00000375436	RCC2
ENST00000375433	RCC2
ENST00000583469	AC004824.1
ENST00000361221	ARHGEF10L
ENST00000375415	ARHGEF10L
ENST00000375408	ARHGEF10L
ENST00000430540	AL136529.1
ENST00000375406	ACTL8
ENST00000617065	ACTL8
ENST00000641892	AL357509.1
ENST00000569711	LINC01654
ENST00000251296	IGSF21
ENST00000420211	AL591896.1
ENST00000400664	KLHDC7A
ENST00000596113	DYNLL1P3
ENST00000450125	AL031737.1
ENST00000375375	PAX7
ENST00000420770	PAX7
ENST00000400661	PAX7
ENST00000375371	TAS1R2
ENST00000494072	AL080251.1
ENST00000290597	ALDH4A1
ENST00000538839	ALDH4A1
ENST00000375341	ALDH4A1
ENST00000538309	ALDH4A1
ENST00000577305	MIR4695
ENST00000408735	MIR1290
ENST00000455833	IFFO2
ENST00000375254	UBR4
ENST00000375225	UBR4
ENST00000375224	UBR4
ENST00000375218	UBR4
ENST00000582644	AL137127.1
ENST00000477853	EMC1
ENST00000375199	EMC1
ENST00000375208	EMC1
ENST00000330263	MRTO4
ENST00000429712	AKR7L
ENST00000420396	AKR7L
ENST00000361640	AKR7A3
ENST00000604801	AL035413.2
ENST00000235835	AKR7A2
ENST00000375155	PQLC2
ENST00000375153	PQLC2
ENST00000400548	PQLC2
ENST00000264203	CAPZB
ENST00000375144	CAPZB
ENST00000375142	CAPZB
ENST00000433834	CAPZB
ENST00000264202	CAPZB
ENST00000617872	MINOS1
ENST00000322753	MINOS1
ENST00000602662	MINOS1-NBL1
ENST00000457263	AL031727.1
ENST00000289749	NBL1
ENST00000622566	NBL1
ENST00000621723	NBL1
ENST00000375136	NBL1
ENST00000618761	NBL1
ENST00000615215	NBL1
ENST00000548815	NBL1
ENST00000289753	HTR6
ENST00000294543	TMCO4
ENST00000375127	TMCO4
ENST00000375121	RNF186
ENST00000375120	OTUD3
ENST00000375116	PLA2G2E
ENST00000400520	PLA2G2A
ENST00000375111	PLA2G2A
ENST00000375108	PLA2G5
ENST00000375105	PLA2G2D
ENST00000617227	PLA2G2D
ENST00000375102	PLA2G2F
ENST00000431027	Z98257.1
ENST00000429261	PLA2G2C
ENST00000247992	PLA2G2C
ENST00000375099	UBXN10
ENST00000435552	LINC01757
ENST00000641138	Z98257.2
ENST00000375079	VWA5B1
ENST00000289815	VWA5B1
ENST00000426428	LINC01141
ENST00000635564	LINC01141
ENST00000421114	AL139254.1
ENST00000641937	AL139254.2
ENST00000641097	AL139254.3
ENST00000375078	CAMK2N1
ENST00000264198	MUL1
ENST00000443195	RPS4XP4
ENST00000332947	FAM43B
ENST00000375071	CDA
ENST00000321556	PINK1
ENST00000415136	DDOST
ENST00000602624	DDOST
ENST00000375048	DDOST
ENST00000375044	KIF17
ENST00000400463	KIF17
ENST00000247986	KIF17
ENST00000440621	AL663074.2
ENST00000375031	SH2D5
ENST00000444387	SH2D5
ENST00000312239	HP1BP3
ENST00000375003	HP1BP3
ENST00000375000	HP1BP3
ENST00000374935	EIF4G3
ENST00000264211	EIF4G3
ENST00000602326	EIF4G3
ENST00000400422	EIF4G3
ENST00000634879	EIF4G3
ENST00000356916	EIF4G3
ENST00000408881	MIR1256
ENST00000420703	RPS15AP6
ENST00000431514	AL627311.1
ENST00000430808	HSPE1P27
ENST00000584440	AL031005.1
ENST00000415912	ECE1
ENST00000357071	ECE1
ENST00000374893	ECE1
ENST00000436918	ECE1
ENST00000264205	ECE1
ENST00000486095	PPP1R11P1
ENST00000443127	AL592309.1
ENST00000444647	AL592309.2
ENST00000453025	NBPF2P
ENST00000481504	HS6ST1P1
ENST00000436658	CROCCP5
ENST00000454000	NBPF3
ENST00000342104	NBPF3
ENST00000318249	NBPF3
ENST00000619554	NBPF3
ENST00000455962	PFN1P10
ENST00000374840	ALPL
ENST00000539907	ALPL
ENST00000540617	ALPL
ENST00000374832	ALPL
ENST00000408854	AL359815.1
ENST00000290101	RAP1GAP
