tadIndex	chromosomeIndex	startPos	endPos	cytobandIndices	geneIndices
31	1	24040000	25120000	9	1460;1461;11007;11009;57757;117305;117308;117602;133226;142661;142677;158055;169504;179163;184454;185436;188529;188822;189266;215905;221032;227312;229106;230023;230228;264443;264926;266511;284699
32	1	24975000	25600000	9	20633;117614;117616;133226;169504;187010;233419;233755;261025;261349;264371;272432;284657;284699
33	1	25560000	26320000	9	117616;117632;117640;117643;127423;157978;158006;162430;182749;183726;187010;188672;204178;223624;224183;225643;229786;238084;255054;259984;261349;264021;266468;266763;272432;284657
34	1	26150000	26800000	9	117632;117640;117682;127423;130695;131914;142669;142675;142684;158006;158008;158014;158022;158062;169442;175087;176083;176092;182749;188782;197245;198830;223583;223624;225854;229786;236155;236782;255054;264021;265320;266763;270733;278572;282872
35	1	26760000	27320000	9	60642;90273;117676;117682;117713;131910;142751;172746;175707;175793;198746;198830;204160;223583;224064;224129;225294;229247;235069;238705
36	1	27250000	27640000	9	90020;90273;142784;158246;172746;175707;214973;224064;225159;225294;225990;229985;243659;253368
37	1	27585000	29000000	9;10	938;9780;117748;117751;117758;120656;126698;126705;126709;130766;130768;130770;130772;130775;142733;142748;142765;142784;158156;158161;158195;162419;169403;174950;180098;180198;181773;186501;188060;204138;214812;215902;226662;228589;228943;229388;229820;230833;231207;231344;231468;233975;235912;238231;241169;241547;243659;268552;269804;270103;271398
38	1	28920000	29590000	10	60656;116329;116350;116353;120656;159023;162419;188060;198492;221550;225616;225750;226852;229388;253304;270103
39	1	29520000	31240000	10;11	60656;116353;162510;162511;221126;221550;222787;225011;228176;230523;231251;231949;233372;233399;236335;264773;266678;270927;284676
40	1	31160000	33600000	11;12	4455;25800;60688;84623;84628;84636;84652;116478;116497;116514;121753;121764;121766;121769;121774;121775;121900;121905;134644;134668;134684;142910;142920;160050;160051;160055;160058;160062;160097;162510;162511;162512;162517;162520;162521;162522;162526;168528;175130;176261;182866;183615;184007;203620;212673;215899;215900;217644;220785;221423;222046;223382;224333;225142;225828;228634;228682;229259;229447;229607;232768;233775;237329;239670;254553;264773;266203;266580;267885;268950;269967;270850;273274;284702
41	1	33520000	34040000	12	4455;116525;121903;121904;134686;142920;160094;184389;221225;235907;266239;270115;284721
42	1	33950000	35320000	12;13	121903;121904;142698;163866;176256;187513;188910;189280;189433;207941;216162;221053;227000;235907;270241
43	1	35240000	36025000	13	20129;116544;116560;142687;146463;163866;163867;187513;188910;197056;216162;228348;229994;233940;236274;243749;271741;284640
44	1	35985000	36315000	13	20129;92853;116819;126067;134698;142686;142687
45	1	36240000	36960000	13	54116;54118;92847;92850;116863;116871;116885;116898;119535;126070;134698;142694;171812;181817;196182;214193;231849;232862;271164;271914
46	1	36900000	37960000	13	116885;116898;119535;163873;163874;163875;223944;230214;230451;264698;284650;284705;284720
47	1	37880000	39365000	13	116922;116954;131233;134690;134697;158315;163874;163875;163877;163879;169218;183317;183386;183431;183520;185090;185668;188786;196449;197982;204084;214114;214141;215895;223589;224592;227416;230610;232273;235673;237290;237749;238063;263675;265596;274944;275350;284623;284632
48	1	39320000	40290000	13;14	84072;90621;116954;116981;116983;116985;127603;131233;158315;163909;168653;174574;183682;198754;214114;217897;225333;229213;235549;237624;243970;274944;284678;284719
49	1	40240000	41040000	14	43514;49089;84070;84073;116985;116990;117000;117010;131236;131238;164002;168389;187801;187815;188800;213172;226745;227311;228477;229213;231296;236505;284677;284678;284719
50	1	40985000	41500000	14	10803;66136;117010;117013;117016;171790;171793;179862;198974;207962;228940;233118;233910;236505;237899
51	1	41440000	41925000	14	10803;171790;171793;204060;213987;215893;235358
52	1	41860000	42640000	14	44012;127124;127129;197273;227538;228776;230638;264896
53	1	42560000	43240000	14	44012;65978;66185;117385;127125;164007;164008;171960;177181;186409;197273;198815;228776;230116;234917;235002;236180;236876;283580
54	1	43185000	43680000	14	117385;117394;117395;164007;164008;164010;164011;177868;186973;225099;227533;233708;237090;243710;274386;277513;283580;283973;284138
55	1	43625000	44000000	14	66056;66322;117395;117399;117400;142949;159479;178922;179178;198198;243710;253313
56	1	43920000	44560000	14;15	66135;117407;117408;117410;117411;126091;132768;142949;159214;196517;224751;227163;230615;233674
57	1	44480000	45215000	15	117419;126106;142945;171872;178028;187147;196517;198520;226804;227163;227994;230615;233514;238037;252146;263381;271329;271647;283039
58	1	45160000	46050000	15	70759;70785;117425;117448;117450;126088;126107;132763;132773;132780;132781;142937;142945;142959;162415;173846;186603;188396;198520;221707;222009;226499;229815;232369;234093;234315;234379;236872;264650;266294;268949;280670;281912
59	1	46000000	46500000	15	86015;117448;132780;159588;159592;159596;197429;225447;232467;234329;236111
60	1	46440000	46880000	15;16	85998;85999;86015;117461;117472;117480;117481;132128;171357;173660;225779;233114;250719;278139
61	1	46840000	47200000	16	79277;117480;123472;142961;159658;162456;186118;197587;232022;233647;282881
62	1	47160000	47680000	16	142973;154198;159658;162365;162366;186160;186377;187048;225154;225506;225514;236476;238145;259832;261196;261290;261593
63	1	47600000	48320000	16	123473;162365;162366;162367;162368;186564;186790;221346;221447;223814;225028;225506;225514;227883;227947;229554;269113;271355;273395
64	1	48200000	50920000	16;17	117834;132122;142700;162373;162374;185104;186094;215887;221746;223720;223814;224986;225028;225671;226133;227839;229316;230828;231413;232514;233595;234080;235105;237180;237478;242267;269113;269709;271782;273395;284645;284696
65	1	50840000	51800000	17	85831;123080;123091;142700;185104;203356;204006;213478;221492;225671;229316;230585;233406;237130;239101;265538;271782
66	1	51735000	52520000	17	78618;85831;85832;117859;117862;123091;169213;198841;212076;227742;229032;230604;232027;232846;236973;265769
67	1	52460000	52850000	17	85840;117862;134717;154222;157077;198841;213735;223429;224255;224680;228407;236004;237663
68	1	52800000	53740000	17	85840;116157;116171;121310;134744;134748;154222;157077;157184;157193;162377;162378;162383;162384;162385;174348;182183;203995;224680;226147;227644;228929;230953;231866;233664;236290;236360;237279;264834;265815;266188;270172;272371;277397
69	1	53680000	54275000	17	58804;143006;157193;162384;162385;174332;225675;226938;230138;236253;270172
70	1	54200000	55440000	17	6555;58799;58804;81870;116133;116205;116209;116212;116221;157211;157216;162390;162391;162396;162398;174332;184313;203985;211452;215883;219102;225183;227453;229687;232245;235741;237173;243725;248835;256407;264208;264454;265404;271723;272091
71	1	55360000	57280000	17;18	143001;162399;162402;162407;162409;169174;187889;223307;223956;224980;225475;227104;229871;230250;231090;231095;231900;232198;233079;234810;235612;236776;260971;265822;284686
72	1	57240000	59160000	18;19	21852;157131;162600;162601;173406;184292;185839;187889;221591;223416;227935;229887;230546;233216;235038;236888;238773;270209
73	1	59080000	60400000	19	134709;134716;162601;172456;177606;185839;228121;231740;232453;234807;235215;237352;241042;264081;266150;270457;272226;283445
74	1	60325000	61360000	19;20	134709;134716;162598;162599;226476;229332;231252;238242
75	1	61280000	62665000	19;20	132849;162599;162604;223920;231252;234088;234204;236646;240563;263380;263908;264551;271200
76	1	62600000	64000000	20	88035;116641;125703;132849;132854;132855;142856;162607;187140;203605;203965;213703;223683;227485;228734;229225;229537;234088;234204;234318;236674;237163;237227;240563;269624;270549
77	1	63960000	64760000	20	79739;142856;177414;177452;185483;203965;228056
78	1	64685000	65540000	20	158966;162434;162437;177414;185031;199135;231485;233877;234784;264470;265996;272506
79	1	65460000	66280000	20	116675;116678;162433;184588;199135;213625;224570;231485;231622;234144;234496;235804;265996;272506
80	1	66200000	66715000	20	184588
81	1	66660000	67240000	20	118473;152760;184588;221655;264720
82	1	67160000	68000000	20	81985;116704;118473;142864;152760;152763;162594;172410;198160;203963;221655;221733;228523;235200
83	1	67935000	68320000	20	116717;172380;232048;235200;238139
84	1	68240000	68890000	20	116729;162595;172380;221203;225242;228431;229133;229440;234383;235055;237622;263542
85	1	68840000	71000000	20;21;22	24526;33122;66557;116745;116754;116761;118454;197568;223883;225167;229359;229440;229639;233020;235446;237622;270615;271992
86	1	70920000	71560000	22	50628;132485;207721;226208;229051;233020;237033
87	1	71520000	72640000	22	132485;172260;207721;226324;264239;271618
88	1	72560000	73160000	22	172260;227207;233994
89	1	73000000	73840000	22	225087;227016;229636;233973
90	1	73640000	74240000	22	223479;233973
91	1	74160000	75215000	22	116783;116791;162620;162621;162623;178965;223479;254685;259030;272864
92	1	75160000	76320000	22	57468;116791;117054;137955;137968;162623;162624;181227;213579;224493;229943;230863;261213;266832;272864
93	1	76240000	77600000	22	57468;117054;117069;137955;142892;154007;184005;221720;223905;225605;226084;226415;230027;237552;264686;266832;272855
94	1	77560000	78160000	22	36549;142892;154027;221664;226084;228187
95	1	78040000	78600000	22	36549;77254;137960;162613;162614;162616;180488;213560;213561;219201;232015;232672;235613
96	1	78560000	79200000	22	122420;137959;137960;137965;221683;227556;233333;238015
97	1	79120000	79800000	22	137965;162618;221683;230787;235011;235400;238015;266388;282898
98	1	79680000	80680000	22	232676;235011;235756;260322;277670;282898
99	1	80600000	81815000	22	117114;213559;224326;225598;227062;227937;229752;234108;234184;235089;236407;266033
100	1	81640000	82360000	22	117114;215875;224494;227288;234683;235089;242598
101	1	82240000	83160000	22	117114;233290
102	1	82840000	83640000	22	230817;236268
103	1	83560000	84360000	22	137941;223231;230817;231364;233008;237076
104	1	84320000	85760000	22;23	55732;97096;117133;117151;117155;122432;137941;137976;142867;142875;153898;162642;162643;171517;174021;180869;203943;213540;226970;229486;232622;233008;240520;249237;251899;264380;266110;271576
105	1	85685000	86840000	23	117174;122417;142867;142871;153904;162642;171502;229505;230285;264380;272691;273264;282057
106	1	86760000	87240000	23	16490;16602;97033;122417;137975;153923;221702;224466;231349
107	1	87185000	87575000	23	97033;153936;183291;225568;230721;235251;267561
108	1	87520000	89400000	23;24	65243;137947;143013;153936;221222;224235;227290;230053;235308;237959;241975;267272;267561;270507;284240
109	1	89360000	89965000	24	117226;117228;137944;154451;162645;162654;183347;213512;213516;215874;225492;233235;234518;235308;238081;284637
110	1	89910000	90520000	24	162664;171488;171492;197147;226394;228175;271949;272672;272931
111	1	90460000	91960000	24	122482;143032;162664;162669;215873;225446;229201;232393;232882;272094
112	1	91880000	92450000	24;25	69702;97046;137948;203914;229067;241318
113	1	92400000	93300000	25	67208;69712;122406;122484;137948;154511;162676;172031;174842;189195;203910;223787;223896;224678;225505;226773;229992;230667;233125;233401;234202;265543;273487;284413
114	1	93240000	94415000	25	23909;67208;67334;117500;117505;122406;122483;137936;137942;143033;154511;211575;223490;225297;226960;229052;229567;229635;229842;232752;233129;234099;235794;236689;237003;238787;250890;260464
115	1	94360000	94960000	25;26	23909;117528;137962;178596;198691;223490;226835;226960;229842;232752;232918;233129;234099;235794;236098;236689;250890
116	1	94910000	95320000	26	117525;117528;143036;223675;224081;232857;263526
117	1	95260000	95720000	26	117519;122481;143036;152078;172339;224081;271092
118	1	95640000	97400000	26	117569;122481;137970;152078;212039;216037;221798;225923;228502;228504;228971;230434;231987;233907;234226;234422;237435;237954;271092;271252
119	1	97320000	99080000	26	188641;212039;221777;225206;226053;226128;228057;230718;233557;259946;265771;269998;270911
120	1	99000000	100240000	26;27	99260;117598;117600;156869;162627;223656;224445;227034;233983
121	1	100200000	101000000	27	79335;117620;122435;122477;137992;137996;156869;156875;156876;162688;207750;215871;216067;223906;225169;226952;230287;231996;234332;252226;271415;283761
122	1	100920000	101400000	27	79335;162692;162694;162695;181656;213421;224685;230402
123	1	101350000	101880000	27	117543;162694;162695;170989;173810;228399;230946;231671;269175;271578
124	1	101800000	103040000	27;28	118733;162699;183298;226715;231671;233359;271277
125	1	103000000	103440000	28	60718;230864
126	1	103360000	103800000	28	60718;234257
127	1	103760000	104240000	28	174876;185946;230759;232753;234037;234441;236085;237763;240038;243480
128	1	104160000	105175000	28	174876;187733;215869;225191;227408;228347;234441;237763;243480
129	1	105120000	106400000	28	225036;227850;230768
130	1	106320000	107000000	28	230932;232952;233047;237480;237897
131	1	106720000	107840000	28;29	162631;198890;232551;233449;237460;270342;270976
132	1	107760000	108320000	29	134215;162631;224550;238883;265536
133	1	108260000	110600000	29	31698;65135;85433;85491;116266;116299;116337;121940;121957;134183;134184;134186;134201;134202;134215;134222;134243;143028;143093;143106;143107;143126;156097;162636;162639;162641;162650;168710;168765;174151;179902;181754;184371;186086;196427;197780;198758;207709;213366;215717;221986;224698;224927;226483;226822;227832;228054;228076;228420;228665;235045;237349;238118;238122;241361;243967;244716;251484;261055;264753;265536;270066;274068;283354
134	1	110535000	111090000	29	116396;134248;143093;143105;143125;156150;162775;168679;168710;177301;186150;197106;235407;240194;282852;282887
135	1	111040000	112000000	29;30	64886;85465;116455;116459;121931;134216;134255;143105;143119;156171;162777;173947;177272;177301;203878;221538;225672;227179;232240;233337;234020;236012;236040;237415;259834
136	1	111960000	112440000	30	64703;85465;116455;116459;116473;121933;143110;171385;197852;215867;231346;233337;282608
137	1	112325000	113280000	30	7341;116489;134245;143079;155363;155366;155367;171385;184599;231246;231437;234388;235299;271810
138	1	113200000	113665000	30	116489;155363;155366;155367;155380;184599;198799;215866;224167;228040;229020;234790;238198;271810
139	1	113600000	114320000	30	81019;81026;116793;198799;232450;232499;233839;236887;237278;238198;238256
140	1	114240000	115400000	30	9307;52723;81019;116748;116752;116774;116793;118655;134207;134242;134262;163349;175984;188761;197323;198765;213281;225650;226984;232450;232895;236480;270780;271419;273698
141	1	115320000	116640000	30;31	52723;118729;134198;134200;134259;163393;173218;177551;198765;214204;226973;228127;229101;232185;233730;265534;270631;271143;274468
142	1	116585000	117140000	31	116815;143061;163393;163399;173212;177173;224950;230381;233154;235933;238532;264419;269279
143	1	117080000	117640000	31	116815;116824;116830;134247;134256;143061;203864;211543;215930;221425;223489;225079;231072;238532;264419;272715
144	1	117560000	118525000	31;32	65183;116830;134253;134256;134258;155761;183508;196505;198162;213262;215930;226755;228217;228453;235202;270719;271427
145	1	118480000	120115000	32	65183;92607;116874;116882;155761;187481;203855;203857;203858;203859;223575;226126;226172;226443;227056;227712;229570;229911;232650;232780;235595;236804;239216;239873;249798
146	1	120035000	120740000	32;33	92621;134193;134240;134249;134250;143067;198857;203855;203857;215864;226443;226446;227205;229570;239873;240244;249798;273406
147	1	120680000	121520000	33;34	188610;198019;223345;224857;227082;227193;228826;231429;231752;233432;268993;269996;272583
148	1	121480000	125000000	33;34	-1
149	1	125000000	142600000	35;36	227552;233798
150	1	142520000	143640000	36;37	185044;203849;225278;226897;227552;230850;230880;231182;232274;232336;233798;234978;235566;237291;238261;239012;242569;265466;265661;265715;266657;266811;272302
151	1	143560000	144520000	37	162825;215784;223804;224363;226637;231360;231734;235398;236334;255854;263497;271644;275129
152	1	144480000	145360000	37	168614;177144;178104;213240;231360;254539;264343;265808;266739;268172;270392;271121;271425;271546;272709;272755;274019;274423;275131;275140;276509;277406
153	1	145280000	145880000	37	117262;117281;121851;131779;131788;143127;168509;174827;186141;186364;198483;211451;213240;233396;264343;265241;265491;265972;271425;271601;272031;280778
154	1	145800000	146360000	37	117262;152042;196644
155	1	146280000	147425000	37;38	116128;121634;131778;131781;131791;162836;180867;186275;188092;213226;223728;225603;226015;227139;227242;230832;234190;234225;236806;244371;265107;272443;272480;283342
156	1	147385000	147890000	38	188092;203836;215859;215863;224335;224481;225080;226335;227700;228626;231196;231551;232265;234283;235988;238107;244252;269647;272824;273059;274372
157	1	147840000	148520000	38	122497;203832;215863;223612;225871;231551;236140;255963;256374;270339;276216
158	1	148440000	149025000	38	203827;223495;227212;229002;232527;235887;237253;237343;242943;264145;266338;271439;271567;274927;277702;278273
159	1	148840000	149790000	38	150337;179571;183598;198161;203814;203815;203817;203818;203825;212044;223495;223759;223779;226028;226067;226500;229801;232527;232721;233368;233430;234571;235887;237503;240929;242352;242943;263590;263825;264022;264145;265531;268074;268544;269614;270962;274927;275296;275557;275585;277702;278273;283752
160	1	149720000	150200000	38	14914;23902;136631;143368;143401;150337;159164;178096;183558;183598;184260;184270;184678;203811;203812;203814;203819;203852;220323;223945;226500;264522;270276;270882;272196;272993;275296
161	1	150160000	151240000	38;39	117360;117362;118292;118298;143363;143369;143374;143379;143382;143384;143387;143398;143401;143409;143412;143418;143420;143434;143437;143443;143452;143457;143458;159208;159352;163125;163131;163141;163154;163155;163156;163157;163159;197622;213190;224690;224800;225996;228126;229357;233717;236713;264553;266472;283324
162	1	151160000	152040000	39	143365;143367;143373;143375;143376;143390;143393;143398;143416;143436;143442;143450;159352;159377;159409;159445;163159;163191;178796;182134;196407;197747;207606;213171;223810;223861;225556;236940;240510;240667;269489;273481
163	1	152000000	152480000	39	143520;143536;143631;159450;163191;182898;183586;197915;215853;232678;233792;236427
164	1	152410000	153520000	39	143546;143556;159455;159516;159527;163202;163206;163207;163209;163216;163218;163220;163221;169469;169474;169509;172155;176075;184148;184330;185962;185966;186207;186226;186844;187170;187173;187180;187223;187238;188015;196154;196420;196734;196805;197084;197364;197956;198854;203781;203782;203783;203784;203785;203786;224784;226947;229035;229699;229713;230779;233819;234262;235942;237008;240386;241794;244057;244094;283227
165	1	153440000	153975000	39	143543;143545;143552;143553;143554;143570;143578;143614;143621;143624;160678;160679;160741;169418;177954;188015;188643;189171;189334;196154;196420;196754;197956;198837;223599;231416;231827;235015;236327;272654
166	1	153920000	155200000	39;40	143515;143537;143543;143545;143549;143552;143569;143570;143575;143578;143590;143595;143603;143612;160685;160688;160691;160710;160712;160714;160716;160741;160766;163239;163263;163344;163346;163348;163352;163354;163357;163462;163463;169231;169241;169242;169291;173171;173207;177954;179085;185499;215938;223452;226855;228264;231416;231837;237920;243364;251246;252817;263987;264349;268141;270361;271748;272654;273088;278694
167	1	155160000	156040000	40	116521;116539;116580;116584;116586;125459;132676;132680;132698;132718;143622;143627;143630;160752;160753;160766;160767;160803;163374;163479;169231;173080;173171;176444;177628;185499;203761;207720;216109;223503;225082;234937;236675;237872;246203;271267;271748
168	1	155840000	156680000	40;41	116584;116586;116604;125462;132677;132680;132688;132692;132698;132702;132718;143320;143622;160781;160783;160785;160789;160803;160818;163382;163467;163468;163472;163479;173080;183856;187862;189030;196189;198715;198952;207933;222611;236947;237390;237588;242252;254726;260238;260460;265960;272068;272971
169	1	156600000	157475000	41	27644;27869;117036;132688;132692;132694;143294;143303;143314;143319;143320;143321;160838;187800;198400;211581;224520;228239;229961;235700;237189;237588;237842;253831;271736;272068;284592
170	1	157435000	158125000	41	73754;132704;143297;160856;163518;163534;183853;227425;231666;231700;232366;233712;236731;236957
171	1	158080000	159120000	41;42	158473;158477;158481;158485;158488;163554;163563;163564;163565;163568;173285;176320;180409;180433;180437;180708;186306;186440;188340;196171;197403;197532;198703;198965;198967;203757;203758;226949;227295;227445;229724;229849;229914;230942;231237;231434;231666;233473;236257;265589;279111
172	1	159040000	160040000	41;42	85552;132693;132703;143315;158710;158714;158716;158731;162706;162723;163568;177807;179639;181036;184155;188004;196184;196266;213085;213088;215846;223603;224259;224943;231100;233473;235226;237409;243284;248642;249197;249730;251686;256029;266458;269620;271890;273933;276632
173	1	160000000	160400000	42	18625;122218;132681;132716;143315;143318;162728;162729;162734;162735;162736;162738;171786;177807;224261;235082;258465;265381
174	1	160320000	161440000	42;43	26751;66294;117090;117091;122223;122224;143217;143222;143224;143252;143256;143257;143258;158764;158769;158773;158793;158796;158850;158859;158864;158869;158874;158882;158887;162736;162738;162739;162755;171786;179914;186517;188931;213080;215840;215845;223009;226003;232188;232879;233691;235101;236484;248485;263548;264286;268154;268387;270149;273075;274562;275801;277882;283317;283360;283696
175	1	161385000	162800000	43	72694;81721;117143;118217;132185;132196;143226;152332;162733;162745;162746;162747;171722;173110;185860;198574;198929;203747;207729;213075;224203;225217;227243;227818;227941;229808;230739;231586;239887;244682;254706;266144;283317;283360;283696
176	1	162760000	163325000	43	117152;132196;143228;143248;185860;225755;227667;230739;237756
177	1	163280000	165160000	43	143228;143248;185630;212086;213070;225122;225487;225719;228289
178	1	165080000	165640000	43;44	143149;143171;143198;162761;162763;230748;236206;237783
179	1	165575000	165940000	44	143149;143179;143183;143198;215838;225272;230175;230659;236206;271527;273365
180	1	165880000	166840000	44	143157;143179;152382;188859;215834;215835;215952;225171;225325;226292;229588;230231;232148;232223;232341;234142;234984;238087;267884;271527
181	1	166800000	167600000	44;45	143157;143162;143167;143190;143194;143195;152382;198771;198821;198842;213068;225171;227776;231029;272205;273160
182	1	167520000	168120000	45	143147;143158;143162;143164;143199;197965;198771;221545;224837;231029;250762
183	1	168040000	169840000	45	457;460;7908;117475;117477;117479;143147;143153;143155;143156;143164;143178;143184;143185;143196;171806;174175;188404;198734;207974;213062;213063;213064;214262;215833;221578;225826;227722;227777;228697;229612;229757;230704;234604;235736;237049;237131;283255
184	1	169785000	170960000	45;46	457;460;75945;116132;117501;120370;203740;224286;224896;225545;226967;233985;235303;235378;238051;263384;263390;271811
185	1	170880000	171450000	45;46	7933;10932;76258;94963;117501;117507;215924;221390;225704;226552;230547;234333;239428;268062
186	1	171400000	171975000	46	10165;34971;117523;117533;197959;213060;224600;230364;232261;233328;234333;236741;271459;283683
187	1	171935000	172480000	46	135845;180999;197959;207949;208024
188	1	172400000	173400000	46;47	94975;117560;117586;120337;135845;180999;224000;224228;226375;227177;229785;230849;231615;232751
189	1	173360000	174240000	47	76321;117592;117593;117601;120334;135870;152061;162753;183831;185278;224977;225591;225713;227373;232113
190	1	174200000	175000000	47	116161;120333;152061;203737;223828;231378;235869;237249;237317;266125
191	1	174960000	175325000	47	116147;116161;120332;120333;152061;181101;230687;233946;235750
192	1	175260000	176840000	47;48	116147;116183;143207;152092;224718;225904;227740;227815;230777;231020;232463;233946;237514
193	1	176680000	178040000	48	116183;120341;152092;198797;202609;222749;224968;227579;236720;242193;266393;276563
194	1	177960000	179840000	48	57252;75391;116191;116194;116199;116218;143322;143340;162779;162782;169905;184909;186283;188585;213057;213058;221547;223794;224620;224687;225711;227141;228191;228196;231564;231905;231966;232750;234041;236539;240021;242193;243062;258664;266417;269064;270575;273384;276563
195	1	179760000	180480000	48;49	116260;121454;135837;143337;143340;169905;223450;230124;231966;235060;235145;258664;260360;261817;261831;265435;272906
196	1	180435000	180850000	49	143324;230124;236719;266683;266825
197	1	180810000	181200000	49	135823;135835;143324;153029;162783;225359;225857;234237;237292;251520;270711
198	1	181160000	182050000	49	179452;179930;198216;224810;225359;272880
199	1	182000000	182400000	49	121446;135821;179930;203729;203730;224810;225982;228664;228918;231684;232096;232309
200	1	182360000	182840000	49	121446;135821;135824;135828;135829;135838;143333;203729;203730;227181;261504;264809;270443;271269
201	1	182800000	183640000	49	58085;116698;116701;135829;135862;143344;157060;157064;162704;173627;176855;224040;226570;233562;264768;265042
202	1	183560000	184025000	49	116698;116701;143344;162704;173627;198756;198860;270994
203	1	183925000	184765000	49	116406;116667;135842;198756;198860;231791;232036;271387
